"gid","visteam","hometeam","site","date","number","starttime","daynight","innings","tiebreaker","usedh","htbf","timeofgame","attendance","fieldcond","precip","sky","temp","winddir","windspeed","oscorer","forfeit","umphome","ump1b","ump2b","ump3b","umplf","umprf","wp","lp","save","gametype","vruns","hruns","wteam","lteam","line","batteries","lineups","box","season"
"JAX194104060","KCM","JAX","JKV01","19410406","0","","","","","","","","","","","","","","","","","","","","","","","","","","exhibition","2","10","JAX","KCM","","","","","1941"
"HOM194104090","KCM","HOM","ORL01","19410409","0","","","","","","","","","","","","","","","","","","","","","","","","","","exhibition","3","2","KCM","HOM","y","","","","1941"
"JAX194104140","KCM","JAX","JKV01","19410414","0","","","","","","","","","","","","","","","","","","","","","","","","","","exhibition","2","2","","","","","","","1941"
"KCM194104200","CAG","KCM","WIC01","19410420","0","","day","","","","","","1200","","","","","","","","","fairu901","reynu901","","","","","mcdab101","alext101","","exhibition","4","5","KCM","CAG","y","both","","","1941"
"CAG194104210","KCM","CAG","PTX01","19410421","0","","day","","","","","","","","","","","","","","","","","","","","","walkg103","ferrw102","","exhibition","6","0","KCM","CAG","y","both","","","1941"
"KCM194104240","CAG","KCM","HOU04","19410424","0","","","","","","","","","","","","","","","","","","","","","","","johnc103","","","exhibition","2","4","KCM","CAG","","p","","","1941"
"KCM194104270","CAG","KCM","OKC02","19410427","0","D","","","","","","","1900","","","","","","","","","","","","","","","cornw101","","","exhibition","7","5","CAG","KCM","y","both","","","1941"
"CAG194104300","KCM","CAG","TUL01","19410430","0","","night","","","","","","","","","","","","","","","","","","","","","","","","exhibition","6","3","KCM","CAG","y","both","","","1941"
"MEM194105041","KCM","MEM","MEM02","19410504","1","","","","","","","","","","","","","","","","","","","","","","","mossp101","walkg103","radct101","exhibition","2","3","MEM","KCM","y","both","y","y","1941"
"MEM194105042","KCM","MEM","MEM02","19410504","2","","","","","","","","","","","","","","","","","","","","","","","","","","exhibition","12","6","KCM","MEM","y","both","","","1941"
"MEM194105080","KCM","MEM","GRE01","19410508","0","","","","","","","","1000","","","","","","","","","","","","","","","","","","exhibition","5","1","KCM","MEM","","","","","1941"
"BIR194105111","KCM","BIR","BIR01","19410511","1","","day","","","","","","","","","","","","","","","","","","","","","bradf104","gipsa101","","regular","9","3","KCM","BIR","y","both","y","y","1941"
"BIR194105112","KCM","BIR","BIR01","19410511","2","","day","","","","","","","","","","","","","","","","","","","","","mcdab101","markj101","","regular","5","3","KCM","BIR","y","both","y","y","1941"
"BIR194105140","KCM","BIR","JAC02","19410514","0","","","","","","","","","","","","","","","","","","","","","","","jessg101","bradf104","","regular","2","3","BIR","KCM","","p","","","1941"
