"gid","visteam","hometeam","site","date","number","starttime","daynight","innings","tiebreaker","usedh","htbf","timeofgame","attendance","fieldcond","precip","sky","temp","winddir","windspeed","oscorer","forfeit","umphome","ump1b","ump2b","ump3b","umplf","umprf","wp","lp","save","gametype","vruns","hruns","wteam","lteam","line","batteries","lineups","box","season"
"MEM194104060","NY5","MEM","MEM02","19410406","0","","","","","","","115","","","","","","","","","","","","","","","","mossp101","haysc101","","exhibition","1","4","MEM","NY5","y","both","y","y","1941"
"MEM194104120","BLG","MEM","MEM02","19410412","0","","","","","","","","","","","","","","","","","","","","","","","","","","exhibition","1","7","MEM","BLG","y","both","","","1941"
"MEM194104130","BLG","MEM","MEM02","19410413","0","","","","","","","","","","","","","","","","","","","","","","","","hutcw101","","exhibition","20","1","BLG","MEM","y","both","","","1941"
"MEM194104142","BLG","MEM","MEM02","19410414","2","","night","","","","","","1100","","","","","","","","","","","","","","","","","","exhibition","6","1","BLG","MEM","","","","","1941"
"MEM194104201","NY6","MEM","MEM02","19410420","1","","day","","","","","","","","","","","","","","","","","","","","","mossp101","barnd101","","exhibition","2","7","MEM","NY6","y","both","","","1941"
"MEM194104202","NY6","MEM","MEM02","19410420","2","","day","","","","","","","","","","","","","","","","","","","","","","","","exhibition","4","4","","","y","both","","","1941"
"MEM194104230","NY5","MEM","PBL01","19410423","0","","","","","","","","","","","","","","","","","","","","","","","dumal101","hollb106","","exhibition","2","13","MEM","NY5","y","both","y","y","1941"
"NY6194104271","MEM","NY6","LRK02","19410427","1","","day","","","","","","2000","","","","","","","","","","","","","","","","ruizs101","","exhibition","7","4","MEM","NY6","y","both","","","1941"
"MEM194104272","NY6","MEM","LRK02","19410427","2","","","","","","","","2000","","","","","","","","","","","","","","","andeb106","","","exhibition","8","1","NY6","MEM","y","both","","","1941"
"MEM194105041","KCM","MEM","MEM02","19410504","1","","","","","","","","","","","","","","","","","","","","","","","mossp101","walkg103","radct101","exhibition","2","3","MEM","KCM","y","both","y","y","1941"
"MEM194105042","KCM","MEM","MEM02","19410504","2","","","","","","","","","","","","","","","","","","","","","","","","","","exhibition","12","6","KCM","MEM","y","both","","","1941"
"MEM194105080","KCM","MEM","GRE01","19410508","0","","","","","","","","1000","","","","","","","","","","","","","","","","","","exhibition","5","1","KCM","MEM","","","","","1941"
"MEM194105111","CAG","MEM","MEM02","19410511","1","","","","","","","","","","","","","","","","","","","","","","","","","","regular","2","7","MEM","CAG","","","","","1941"
