"gid","team","inn1","inn2","inn3","inn4","inn5","inn6","inn7","inn8","inn9","inn10","inn11","inn12","inn13","inn14","inn15","inn16","inn17","inn18","inn19","inn20","inn21","inn22","inn23","inn24","inn25","inn26","inn27","inn28","lob","stattype","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","d_po","d_a","d_e","d_dp","d_tp","d_pb","start_l1","start_l2","start_l3","start_l4","start_l5","start_l6","start_l7","start_l8","start_l9","start_f1","start_f2","start_f3","start_f4","start_f5","start_f6","start_f7","start_f8","start_f9","start_f10","date","number","site","opp","wl","gametype","box","season"
"PH5194105100","PH5","0","0","0","0","3","0","0","0","0","","","","","","","","","","","","","","","","","","","","5","value","34","3","8","0","1","1","3","0","","0","1","","0","0","","1","0","27","","40","11","2","2","1","6","","2","","3","0","0","0","0","1","27","19","0","1","0","0","duckm101","parnr102","pattp102","bensg101","westj102","wrigz102","campd103","coopb101","mcheh101","mcheh101","coopb101","westj102","campd103","pattp102","duckm101","parnr102","bensg101","wrigz102","","19410510","0","PHI17","NY6","L","regular","y","1941"
"PH5194105100","PH5","0","0","0","0","3","0","0","0","0","","","","","","","","","","","","","","","","","","","","5","lower","","3","8","0","1","1","3","0","","0","1","","0","0","","1","0","27","","","11","2","2","1","6","","2","","3","0","0","0","0","1","27","19","0","1","0","0","duckm101","parnr102","pattp102","bensg101","westj102","wrigz102","campd103","coopb101","mcheh101","mcheh101","coopb101","westj102","campd103","pattp102","duckm101","parnr102","bensg101","wrigz102","","19410510","0","PHI17","NY6","L","regular","y","1941"
"PH5194105100","PH5","0","0","0","0","3","0","0","0","0","","","","","","","","","","","","","","","","","","","","5","upper","","3","8","0","1","1","3","0","","0","1","","0","0","","1","0","27","","","11","2","2","1","6","","2","","3","0","0","0","0","1","27","19","0","1","0","0","duckm101","parnr102","pattp102","bensg101","westj102","wrigz102","campd103","coopb101","mcheh101","mcheh101","coopb101","westj102","campd103","pattp102","duckm101","parnr102","bensg101","wrigz102","","19410510","0","PHI17","NY6","L","regular","y","1941"
"NY5194105111","PH5","0","1","0","0","1","0","1","0","0","","","","","","","","","","","","","","","","","","","","6","value","34","3","5","0","1","0","3","0","","0","2","","5","0","","","0","24","","39","9","0","0","1","5","","3","","2","0","0","0","1","1","24","9","3","1","0","0","duckm101","parnr102","pattp102","bensg101","westj102","wrigz102","campd103","coopb101","fillj101","fillj101","coopb101","westj102","campd103","pattp102","duckm101","parnr102","bensg101","wrigz102","","19410511","1","NYC16","NY5","L","regular","y","1941"
"NY5194105111","PH5","0","1","0","0","1","0","1","0","0","","","","","","","","","","","","","","","","","","","","6","lower","34","3","5","0","1","0","3","0","","0","0","","5","0","","","0","24","","35","9","0","0","1","5","","3","","2","0","0","0","0","1","24","9","3","1","0","0","duckm101","parnr102","pattp102","bensg101","westj102","wrigz102","campd103","coopb101","fillj101","fillj101","coopb101","westj102","campd103","pattp102","duckm101","parnr102","bensg101","wrigz102","","19410511","1","NYC16","NY5","L","regular","y","1941"
"NY5194105111","PH5","0","1","0","0","1","0","1","0","0","","","","","","","","","","","","","","","","","","","","6","upper","34","3","5","0","1","0","3","0","","0","2","","5","0","","","0","24","","39","9","0","0","1","5","","3","","2","0","0","0","1","1","24","9","3","1","0","0","duckm101","parnr102","pattp102","bensg101","westj102","wrigz102","campd103","coopb101","fillj101","fillj101","coopb101","westj102","campd103","pattp102","duckm101","parnr102","bensg101","wrigz102","","19410511","1","NYC16","NY5","L","regular","y","1941"
"NY5194105112","PH5","1","0","0","0","0","0","2","1","0","","","","","","","","","","","","","","","","","","","","9","value","37","4","10","0","0","0","4","0","1","0","2","","","0","","","0","27","","35","5","1","0","0","1","","3","","5","0","0","0","1","","27","12","0","1","0","0","duckm101","parnr102","pattp102","bensg101","westj102","wrigz102","campd103","palmc101","brewc102","brewc102","palmc101","westj102","campd103","pattp102","duckm101","parnr102","bensg101","wrigz102","","19410511","2","NYC16","NY5","W","regular","y","1941"
"NY5194105112","PH5","1","0","0","0","0","0","2","1","0","","","","","","","","","","","","","","","","","","","","9","lower","37","4","10","0","0","0","4","0","1","0","1","","","0","","","0","27","","31","5","1","0","0","1","","3","","5","0","0","0","0","","27","11","0","1","0","0","duckm101","parnr102","pattp102","bensg101","westj102","wrigz102","campd103","palmc101","brewc102","brewc102","palmc101","westj102","campd103","pattp102","duckm101","parnr102","bensg101","wrigz102","","19410511","2","NYC16","NY5","W","regular","y","1941"
"NY5194105112","PH5","1","0","0","0","0","0","2","1","0","","","","","","","","","","","","","","","","","","","","9","upper","38","4","10","0","0","0","4","0","1","0","2","","","0","","","0","27","","35","5","1","0","0","1","","3","","5","0","0","0","1","","27","12","0","1","0","0","duckm101","parnr102","pattp102","bensg101","westj102","wrigz102","campd103","palmc101","brewc102","brewc102","palmc101","westj102","campd103","pattp102","duckm101","parnr102","bensg101","wrigz102","","19410511","2","NYC16","NY5","W","regular","y","1941"
"PH5194105120","PH5","3","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","","","","7","value","28","4","7","2","0","0","4","0","","0","4","","","0","","","0","21","","31","6","3","0","1","5","","3","","","0","0","0","0","","21","9","2","0","0","0","duckm101","parnr102","pattp102","bensg101","westj102","wrigz102","willl109","palmc101","buchc101","buchc101","palmc101","westj102","willl109","pattp102","duckm101","parnr102","bensg101","wrigz102","","19410512","0","CHE01","NY5","L","regular","y","1941"
