"gid","team","inn1","inn2","inn3","inn4","inn5","inn6","inn7","inn8","inn9","inn10","inn11","inn12","inn13","inn14","inn15","inn16","inn17","inn18","inn19","inn20","inn21","inn22","inn23","inn24","inn25","inn26","inn27","inn28","lob","stattype","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","d_po","d_a","d_e","d_dp","d_tp","d_pb","start_l1","start_l2","start_l3","start_l4","start_l5","start_l6","start_l7","start_l8","start_l9","start_f1","start_f2","start_f3","start_f4","start_f5","start_f6","start_f7","start_f8","start_f9","start_f10","date","number","site","opp","wl","gametype","box","season"
"MEM194204050","MEM","0","0","0","0","2","0","3","0","","","","","","","","","","","","","","","","","","","","","1","value","29","5","8","2","0","1","5","1","","0","0","","","0","","","0","27","","35","8","0","0","0","1","","1","","9","0","0","0","0","","27","5","3","1","0","0","hydec101","browt105","cartm101","rogen101","robin101","taylj106","fagag101","browl107","brooj103","brooj103","browl107","taylj106","fagag101","cartm101","browt105","rogen101","robin101","hydec101","","19420405","0","MEM02","BLG","W","exhibition","y","1942"
"MEM194204050","MEM","0","0","0","0","2","0","3","0","","","","","","","","","","","","","","","","","","","","","1","lower","29","5","8","2","0","1","5","0","","0","0","","","0","","","0","27","","34","8","0","0","0","1","","1","","9","0","0","0","0","","27","5","3","1","0","0","hydec101","browt105","cartm101","rogen101","robin101","taylj106","fagag101","browl107","brooj103","brooj103","browl107","taylj106","fagag101","cartm101","browt105","rogen101","robin101","hydec101","","19420405","0","MEM02","BLG","W","exhibition","y","1942"
"MEM194204050","MEM","0","0","0","0","2","0","3","0","","","","","","","","","","","","","","","","","","","","","1","upper","29","5","8","2","0","1","5","1","","0","0","","","0","","","0","27","","35","8","0","0","0","1","","1","","9","0","0","0","0","","27","5","3","1","0","0","hydec101","browt105","cartm101","rogen101","robin101","taylj106","fagag101","browl107","brooj103","brooj103","browl107","taylj106","fagag101","cartm101","browt105","rogen101","robin101","hydec101","","19420405","0","MEM02","BLG","W","exhibition","y","1942"
"CAG194204120","MEM","0","0","2","0","1","0","2","2","0","","","","","","","","","","","","","","","","","","","","3","value","32","7","10","1","0","0","3","0","","0","5","","","2","","","0","26","","43","14","1","0","0","8","","4","","2","1","0","0","0","","26","12","3","1","0","0","hydec101","browt105","cartm101","robin101","mathv101","taylj106","fagag101","browl107","mossp101","mossp101","browl107","taylj106","fagag101","cartm101","browt105","mathv101","robin101","hydec101","","19420412","0","LRK02","CAG","L","exhibition","y","1942"
"CAG194204120","MEM","0","0","2","0","1","0","2","2","0","","","","","","","","","","","","","","","","","","","","3","lower","32","7","10","1","0","0","3","0","","0","","","","2","","","0","26","","42","13","1","0","0","8","","4","","2","1","0","0","0","","26","12","3","1","0","0","hydec101","browt105","cartm101","robin101","mathv101","taylj106","fagag101","browl107","mossp101","mossp101","browl107","taylj106","fagag101","cartm101","browt105","mathv101","robin101","hydec101","","19420412","0","LRK02","CAG","L","exhibition","y","1942"
"CAG194204120","MEM","0","0","2","0","1","0","2","2","0","","","","","","","","","","","","","","","","","","","","3","upper","35","7","10","1","0","0","3","0","","0","","","","2","","","0","26","","43","14","1","0","0","8","","4","","2","1","0","0","0","","26","22","3","1","0","0","hydec101","browt105","cartm101","robin101","mathv101","taylj106","fagag101","browl107","mossp101","mossp101","browl107","taylj106","fagag101","cartm101","browt105","mathv101","robin101","hydec101","","19420412","0","LRK02","CAG","L","exhibition","y","1942"
"MEM194204191","MEM","0","0","0","0","0","0","0","1","0","","","","","","","","","","","","","","","","","","","","10","value","38","1","9","2","0","0","","0","","0","0","","","1","","","0","27","","32","5","0","1","0","2","","2","","2","0","0","0","0","","27","","1","0","0","0","hydec101","browt105","cartm101","rogen101","robin101","taylj106","bankf101","browl107","mossp101","mossp101","browl107","taylj106","bankf101","cartm101","browt105","rogen101","robin101","hydec101","","19420419","1","MEM03","CAG","L","exhibition","y","1942"
"MEM194204191","MEM","0","0","0","0","0","0","0","1","0","","","","","","","","","","","","","","","","","","","","10","lower","38","1","9","2","0","0","","0","","0","0","","","1","","","0","27","","30","5","0","1","0","2","","2","","2","0","0","0","0","","27","","1","0","0","0","hydec101","browt105","cartm101","rogen101","robin101","taylj106","bankf101","browl107","mossp101","mossp101","browl107","taylj106","bankf101","cartm101","browt105","rogen101","robin101","hydec101","","19420419","1","MEM03","CAG","L","exhibition","y","1942"
"MEM194204191","MEM","0","0","0","0","0","0","0","1","0","","","","","","","","","","","","","","","","","","","","10","upper","39","1","9","2","0","0","","0","","0","0","","","1","","","0","27","","32","5","0","1","0","2","","2","","2","0","0","0","0","","27","","1","0","0","0","hydec101","browt105","cartm101","rogen101","robin101","taylj106","bankf101","browl107","mossp101","mossp101","browl107","taylj106","bankf101","cartm101","browt105","rogen101","robin101","hydec101","","19420419","1","MEM03","CAG","L","exhibition","y","1942"
"MEM194204192","MEM","0","0","0","0","0","3","0","","","","","","","","","","","","","","","","","","","","","","","value","","3","6","","","","","","","","","","","","","","","21","","","11","","","","7","","","","","","","","","","21","","3","","0","","","","","","","","","","","hutcw101","smitb114","","","","","","","","","19420419","2","MEM03","CAG","L","exhibition","","1942"
"MEM194204192","MEM","0","0","0","0","0","3","0","","","","","","","","","","","","","","","","","","","","","","","lower","","3","6","","","","","","","","","","","","","","","21","","","11","","","","7","","","","","","","","","","21","","3","","0","","","","","","","","","","","hutcw101","smitb114","","","","","","","","","19420419","2","MEM03","CAG","L","exhibition","","1942"
"MEM194204192","MEM","0","0","0","0","0","3","0","","","","","","","","","","","","","","","","","","","","","","","upper","","3","6","","","","","","","","","","","","","","","21","","","11","","","","7","","","","","","","","","","21","","3","","0","","","","","","","","","","","hutcw101","smitb114","","","","","","","","","19420419","2","MEM03","CAG","L","exhibition","","1942"
"MEM194204230","MEM","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","value","","3","1","1","","","","","","","","","","","","","","27","","","","","","","2","","","","","","","","","","27","","0","","0","","","","","","","","","","","hutcw101","smitb114","","","","","","","","","19420423","0","LRK02","KCM","W","exhibition","","1942"
"MEM194204230","MEM","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","lower","","3","1","1","","","","","","","","","","","","","","27","","","","","","","2","","","","","","","","","","27","","0","","0","","","","","","","","","","","hutcw101","smitb114","","","","","","","","","19420423","0","LRK02","KCM","W","exhibition","","1942"
"MEM194204230","MEM","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","upper","","3","1","1","","","","","","","","","","","","","","27","","","","","","","2","","","","","","","","","","27","","0","","0","","","","","","","","","","","hutcw101","smitb114","","","","","","","","","19420423","0","LRK02","KCM","W","exhibition","","1942"
"MEM194204261","MEM","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","value","","2","1","","","1","2","","","","","","","","","","","27","","","","","","","1","","","","","","","","","","27","","0","","0","","","","","","","","","","","mossp101","","","","","","","","","","19420426","1","MEM02","JAX","W","exhibition","","1942"
"MEM194204261","MEM","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","lower","","2","1","","","1","2","","","","","","","","","","","27","","","","","","","1","","","","","","","","","","27","","0","","0","","","","","","","","","","","mossp101","","","","","","","","","","19420426","1","MEM02","JAX","W","exhibition","","1942"
"MEM194204261","MEM","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","upper","","2","1","","","1","2","","","","","","","","","","","27","","","","","","","1","","","","","","","","","","27","","0","","0","","","","","","","","","","","mossp101","","","","","","","","","","19420426","1","MEM02","JAX","W","exhibition","","1942"
"MEM194204262","MEM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","value","","2","","","","","","","","","","","","","","","","21","","","1","","","","0","0","","","","","","","","","21","","0","","0","","","","","","","","","","","mathv101","","","","","","","","","","19420426","2","MEM02","JAX","W","exhibition","","1942"
"MEM194204262","MEM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","lower","","2","","","","","","","","","","","","","","","","21","","","1","","","","0","0","","","","","","","","","21","","0","","0","","","","","","","","","","","mathv101","","","","","","","","","","19420426","2","MEM02","JAX","W","exhibition","","1942"
"MEM194204262","MEM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","upper","","2","","","","","","","","","","","","","","","","21","","","1","","","","0","0","","","","","","","","","21","","0","","0","","","","","","","","","","","mathv101","","","","","","","","","","19420426","2","MEM02","JAX","W","exhibition","","1942"
"MEM194204300","MEM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","value","","3","","","","","","","","","","","","","","","","27","","","","","","","2","","","","","","","","","","27","","0","","0","","","","","","","","","","","","","","","","","","","","","19420430","0","LRK02","KCM","W","exhibition","","1942"
"MEM194204300","MEM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","lower","","3","","","","","","","","","","","","","","","","27","","","","","","","2","","","","","","","","","","27","","0","","0","","","","","","","","","","","","","","","","","","","","","19420430","0","LRK02","KCM","W","exhibition","","1942"
"MEM194204300","MEM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","upper","","3","","","","","","","","","","","","","","","","27","","","","","","","2","","","","","","","","","","27","","0","","0","","","","","","","","","","","","","","","","","","","","","19420430","0","LRK02","KCM","W","exhibition","","1942"
"MEM194205031","MEM","1","0","0","0","0","2","0","0","2","","","","","","","","","","","","","","","","","","","","10","value","35","5","10","1","0","0","","0","","0","7","","","0","","","0","27","","49","16","5","0","2","13","","6","","4","2","0","0","0","","27","20","4","1","0","0","hydec101","fagag101","cartm101","rogen101","robin101","taylj106","bankf101","smitb114","mathv101","mathv101","smitb114","taylj106","bankf101","cartm101","fagag101","rogen101","robin101","hydec101","","19420503","1","MEM02","KCM","L","exhibition","y","1942"
"MEM194205031","MEM","1","0","0","0","0","2","0","0","2","","","","","","","","","","","","","","","","","","","","10","lower","35","5","10","1","0","0","","0","","0","","","","0","","","0","27","","42","16","5","0","2","13","","6","","4","2","0","0","0","","27","20","4","1","0","0","hydec101","fagag101","cartm101","rogen101","robin101","taylj106","bankf101","smitb114","mathv101","mathv101","smitb114","taylj106","bankf101","cartm101","fagag101","rogen101","robin101","hydec101","","19420503","1","MEM02","KCM","L","exhibition","y","1942"
"MEM194205031","MEM","1","0","0","0","0","2","0","0","2","","","","","","","","","","","","","","","","","","","","10","upper","35","5","10","1","0","0","","0","","0","","","","0","","","0","27","","49","16","5","0","2","13","","6","","4","2","0","0","0","","27","20","4","1","0","0","hydec101","fagag101","cartm101","rogen101","robin101","taylj106","bankf101","smitb114","mathv101","mathv101","smitb114","taylj106","bankf101","cartm101","fagag101","rogen101","robin101","hydec101","","19420503","1","MEM02","KCM","L","exhibition","y","1942"
"MEM194205032","MEM","3","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","6","value","26","3","4","","2","","3","","","1","3","","","","","","","21","","29","7","1","","","4","","1","","","","","","","","21","","2","","0","","hydec101","browt105","cartm101","robin101","taylj106","fagag101","mathv101","browl107","mossp101","mossp101","browl107","taylj106","fagag101","cartm101","browt105","mathv101","robin101","hydec101","","19420503","2","MEM02","KCM","L","exhibition","y","1942"
"MEM194205032","MEM","3","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","6","lower","26","3","4","","2","","3","","","1","","","","","","","","21","","28","7","1","","","4","","","","","","","","","","21","","2","","0","","hydec101","browt105","cartm101","robin101","taylj106","fagag101","mathv101","browl107","mossp101","mossp101","browl107","taylj106","fagag101","cartm101","browt105","mathv101","robin101","hydec101","","19420503","2","MEM02","KCM","L","exhibition","y","1942"
"MEM194205032","MEM","3","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","6","upper","26","3","4","","2","","3","","","1","","","","","","","","21","","29","7","1","","","4","","","","","","","","","","21","","2","","0","","hydec101","browt105","cartm101","robin101","taylj106","fagag101","mathv101","browl107","mossp101","mossp101","browl107","taylj106","fagag101","cartm101","browt105","mathv101","robin101","hydec101","","19420503","2","MEM02","KCM","L","exhibition","y","1942"
"MEM194205060","MEM","0","0","2","3","1","0","0","0","0","","","","","","","","","","","","","","","","","","","","7","value","34","6","9","4","0","0","5","0","","1","5","","","1","","","0","27","","47","9","2","0","3","15","","7","","3","0","1","0","0","","27","","0","1","0","1","hydec101","browt105","cartm101","rogen101","fagag101","taylj106","bankf101","smitb114","keyer101","keyer101","smitb114","taylj106","fagag101","cartm101","browt105","rogen101","bankf101","hydec101","","19420506","0","GRE01","KCM","L","exhibition","y","1942"
"MEM194205060","MEM","0","0","2","3","1","0","0","0","0","","","","","","","","","","","","","","","","","","","","7","lower","34","6","9","4","0","0","5","0","","1","","","","1","","","0","27","","40","9","2","0","3","15","","7","","3","0","1","0","0","","27","","0","1","0","1","hydec101","browt105","cartm101","rogen101","fagag101","taylj106","bankf101","smitb114","keyer101","keyer101","smitb114","taylj106","fagag101","cartm101","browt105","rogen101","bankf101","hydec101","","19420506","0","GRE01","KCM","L","exhibition","y","1942"
"MEM194205060","MEM","0","0","2","3","1","0","0","0","0","","","","","","","","","","","","","","","","","","","","7","upper","34","6","9","4","0","0","5","0","","1","","","","1","","","0","27","","47","9","3","0","3","15","","7","","3","0","1","0","0","","27","","0","1","0","1","hydec101","browt105","cartm101","rogen101","fagag101","taylj106","bankf101","smitb114","keyer101","keyer101","smitb114","taylj106","fagag101","cartm101","browt105","rogen101","bankf101","hydec101","","19420506","0","GRE01","KCM","L","exhibition","y","1942"
"MEM194205101","MEM","0","0","0","8","1","2","0","0","","","","","","","","","","","","","","","","","","","","","9","value","41","11","16","4","2","0","","1","","0","2","","","1","","","0","27","","36","9","1","0","0","2","","1","","3","0","0","0","0","","27","","1","1","0","0","mcdaf101","browt105","cartm101","robin101","hydec101","taylj106","bankf101","browl107","mossp101","mossp101","browl107","taylj106","bankf101","cartm101","browt105","mcdaf101","robin101","hydec101","","19420510","1","MEM02","CCB","W","regular","y","1942"
"MEM194205101","MEM","0","0","0","8","1","2","0","0","","","","","","","","","","","","","","","","","","","","","9","lower","41","11","16","4","2","0","","0","","0","1","","","1","","","0","27","","35","9","1","0","0","2","","1","","3","0","0","0","0","","27","","1","1","0","0","mcdaf101","browt105","cartm101","robin101","hydec101","taylj106","bankf101","browl107","mossp101","mossp101","browl107","taylj106","bankf101","cartm101","browt105","mcdaf101","robin101","hydec101","","19420510","1","MEM02","CCB","W","regular","y","1942"
"MEM194205101","MEM","0","0","0","8","1","2","0","0","","","","","","","","","","","","","","","","","","","","","9","upper","41","11","16","4","2","0","","1","","0","2","","","1","","","0","27","","36","9","1","0","0","2","","1","","3","0","0","0","0","","27","","1","1","0","0","mcdaf101","browt105","cartm101","robin101","hydec101","taylj106","bankf101","browl107","mossp101","mossp101","browl107","taylj106","bankf101","cartm101","browt105","mcdaf101","robin101","hydec101","","19420510","1","MEM02","CCB","W","regular","y","1942"
"MEM194205102","MEM","1","1","2","0","7","4","","","","","","","","","","","","","","","","","","","","","","","","value","","15","17","","","2","","","","","","","","","","","","21","","","4","","","","2","2","","","","","","","","","21","","0","","0","","","","","","","","","","","mathv101","smitb114","","","","","","","","","19420510","2","MEM02","CCB","W","regular","","1942"
"MEM194205102","MEM","1","1","2","0","7","4","","","","","","","","","","","","","","","","","","","","","","","","lower","","15","17","","","2","","","","","","","","","","","","21","","","4","","","","2","2","","","","","","","","","21","","0","","0","","","","","","","","","","","mathv101","smitb114","","","","","","","","","19420510","2","MEM02","CCB","W","regular","","1942"
"MEM194205102","MEM","1","1","2","0","7","4","","","","","","","","","","","","","","","","","","","","","","","","upper","","15","17","","","2","","","","","","","","","","","","21","","","4","","","","2","2","","","","","","","","","21","","0","","0","","","","","","","","","","","mathv101","smitb114","","","","","","","","","19420510","2","MEM02","CCB","W","regular","","1942"
"MEM194205110","MEM","3","0","0","0","0","0","2","2","1","","","","","","","","","","","","","","","","","","","","","value","","8","13","","","","","","","","","","","","","","","27","","","11","","1","1","9","","","","","","","","","","27","","4","","0","","","","","","","","","","","hutcw101","smitb114","","","","","","","","","19420511","0","MEM02","CCB","L","regular","","1942"
"MEM194205110","MEM","3","0","0","0","0","0","2","2","1","","","","","","","","","","","","","","","","","","","","","lower","","8","13","","","","","","","","","","","","","","","27","","","11","","1","1","9","","","","","","","","","","27","","4","","0","","","","","","","","","","","hutcw101","smitb114","","","","","","","","","19420511","0","MEM02","CCB","L","regular","","1942"
"MEM194205110","MEM","3","0","0","0","0","0","2","2","1","","","","","","","","","","","","","","","","","","","","","upper","","8","13","","","","","","","","","","","","","","","27","","","11","","1","1","9","","","","","","","","","","27","","4","","0","","","","","","","","","","","hutcw101","smitb114","","","","","","","","","19420511","0","MEM02","CCB","L","regular","","1942"
"MEM194205130","MEM","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","value","","6","","","","","","","","","","","","","","","","30","","","3","1","2","","7","","","","","","","","","","30","","0","","0","","","","","","","","","","","","","","","","","","","","","19420513","0","MEM02","CCB","L","regular","","1942"
"MEM194205130","MEM","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","lower","","6","","","","","","","","","","","","","","","","30","","","3","1","2","","7","","","","","","","","","","30","","0","","0","","","","","","","","","","","","","","","","","","","","","19420513","0","MEM02","CCB","L","regular","","1942"
"MEM194205130","MEM","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","upper","","6","","","","","","","","","","","","","","","","30","","","3","1","2","","7","","","","","","","","","","30","","0","","0","","","","","","","","","","","","","","","","","","","","","19420513","0","MEM02","CCB","L","regular","","1942"
"MEM194205131","MEM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","value","","6","","","","","","","","","","","","","","","","27","","","","","","","7","","","","","","","","","","27","","0","","0","","","","","","","","","","","","","","","","","","","","","19420513","1","MEM02","CCB","L","exhibition","","1942"
"MEM194205131","MEM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","lower","","6","","","","","","","","","","","","","","","","27","","","","","","","7","","","","","","","","","","27","","0","","0","","","","","","","","","","","","","","","","","","","","","19420513","1","MEM02","CCB","L","exhibition","","1942"
"MEM194205131","MEM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","upper","","6","","","","","","","","","","","","","","","","27","","","","","","","7","","","","","","","","","","27","","0","","0","","","","","","","","","","","","","","","","","","","","","19420513","1","MEM02","CCB","L","exhibition","","1942"
"MEM194205140","MEM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","value","","3","","","","","","","","","","","","","","","","27","","","","","","","2","","","","","","","","","","27","","0","","0","","","","","","","","","","","","","","","","","","","","","19420514","0","LRK02","CCB","W","regular","","1942"
"MEM194205140","MEM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","lower","","3","","","","","","","","","","","","","","","","27","","","","","","","2","","","","","","","","","","27","","0","","0","","","","","","","","","","","","","","","","","","","","","19420514","0","LRK02","CCB","W","regular","","1942"
"MEM194205140","MEM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","upper","","3","","","","","","","","","","","","","","","","27","","","","","","","2","","","","","","","","","","27","","0","","0","","","","","","","","","","","","","","","","","","","","","19420514","0","LRK02","CCB","W","regular","","1942"
"KCM194205171","MEM","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","6","value","32","0","5","0","0","0","0","0","","0","1","","1","3","","","0","24","","36","9","4","0","0","7","","4","","6","0","0","0","0","","24","8","1","0","0","0","mcdaf101","browt105","cartm101","robin101","hydec101","taylj106","bankf101","browl107","mossp101","mossp101","browl107","taylj106","bankf101","cartm101","browt105","mcdaf101","robin101","hydec101","","19420517","1","KAN05","KCM","L","regular","y","1942"
"KCM194205171","MEM","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","6","lower","32","0","5","0","0","0","0","0","","0","1","","1","3","","","0","24","","32","9","4","0","0","7","","4","","6","0","0","0","0","","24","8","1","0","0","0","mcdaf101","browt105","cartm101","robin101","hydec101","taylj106","bankf101","browl107","mossp101","mossp101","browl107","taylj106","bankf101","cartm101","browt105","mcdaf101","robin101","hydec101","","19420517","1","KAN05","KCM","L","regular","y","1942"
"KCM194205171","MEM","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","6","upper","32","0","5","0","0","0","0","0","","0","1","","1","3","","","0","24","","36","9","4","0","0","7","","4","","6","0","0","0","0","","24","8","1","0","0","0","mcdaf101","browt105","cartm101","robin101","hydec101","taylj106","bankf101","browl107","mossp101","mossp101","browl107","taylj106","bankf101","cartm101","browt105","mcdaf101","robin101","hydec101","","19420517","1","KAN05","KCM","L","regular","y","1942"
"KCM194205172","MEM","1","0","0","0","0","3","0","","","","","","","","","","","","","","","","","","","","","","13","value","32","4","9","2","0","0","","0","","0","6","","","3","","","0","21","","24","2","2","0","0","1","","1","","2","0","0","0","0","","21","5","0","0","0","0","hydec101","browt105","cartm101","mcdaf101","robin101","taylj106","bankf101","browl107","mathv101","mathv101","browl107","taylj106","bankf101","cartm101","browt105","mcdaf101","robin101","hydec101","","19420517","2","KAN05","KCM","W","regular","y","1942"
"KCM194205172","MEM","1","0","0","0","0","3","0","","","","","","","","","","","","","","","","","","","","","","13","lower","32","4","9","2","0","0","","0","","0","","","","3","","","0","21","","23","2","2","0","0","1","","1","","2","0","0","0","0","","21","5","0","0","0","0","hydec101","browt105","cartm101","mcdaf101","robin101","taylj106","bankf101","browl107","mathv101","mathv101","browl107","taylj106","bankf101","cartm101","browt105","mcdaf101","robin101","hydec101","","19420517","2","KAN05","KCM","W","regular","y","1942"
"KCM194205172","MEM","1","0","0","0","0","3","0","","","","","","","","","","","","","","","","","","","","","","13","upper","32","4","9","2","0","0","","0","","0","","","","3","","","0","21","","24","2","2","0","0","1","","1","","2","0","0","0","0","","21","5","0","0","0","0","hydec101","browt105","cartm101","mcdaf101","robin101","taylj106","bankf101","browl107","mathv101","mathv101","browl107","taylj106","bankf101","cartm101","browt105","mcdaf101","robin101","hydec101","","19420517","2","KAN05","KCM","W","regular","y","1942"
"KCM194205190","MEM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","value","","3","","","","","","","","","","","","","","","","27","","","","","","","1","","","","","","","","","","27","","0","","0","","","","","","","","","","","lipsh101","smitb114","","","","","","","","","19420519","0","MUS01","KCM","W","regular","","1942"
"KCM194205190","MEM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","lower","","3","","","","","","","","","","","","","","","","27","","","","","","","1","","","","","","","","","","27","","0","","0","","","","","","","","","","","lipsh101","smitb114","","","","","","","","","19420519","0","MUS01","KCM","W","regular","","1942"
