"gid","visteam","hometeam","site","date","number","starttime","daynight","innings","tiebreaker","usedh","htbf","timeofgame","attendance","fieldcond","precip","sky","temp","winddir","windspeed","oscorer","forfeit","umphome","ump1b","ump2b","ump3b","umplf","umprf","wp","lp","save","gametype","vruns","hruns","wteam","lteam","line","batteries","lineups","box","season"
"BIR194304041","MEM","BIR","BIR01","19430404","1","","day","","","","","","","","","","","","","","","","","","","","","mossp101","bankd101","","exhibition","8","5","MEM","BIR","y","both","y","y","1943"
"BIR194304042","MEM","BIR","BIR01","19430404","2","","day","7","","","","","","","","","","","","","","","","","","","","newbj101","mathv101","","exhibition","0","11","BIR","MEM","","both","","","1943"
"MEM194304110","BIR","MEM","MEM03","19430411","0","","day","","","","","","","","","","","","","","","","","","","","","mckig101","hutcw101","","exhibition","2","1","BIR","MEM","y","both","","","1943"
"BIR194304190","CI2","BIR","MTG01","19430419","0","","","","","","","","2000","","","","","","","","","","","","","","","danig101","mckig101","","exhibition","8","3","CI2","BIR","y","both","","","1943"
"BIR194304200","CI2","BIR","MTG01","19430420","0","","night","","","","","","1000","","","","","","","","","","","","","","","markj101","higdb102","","exhibition","7","9","BIR","CI2","y","both","","","1943"
"KCM194304251","BIR","KCM","NOL01","19430425","1","","day","","","","","","15000","","","","","","","","","","","","","","","matcj101","mckig101","","exhibition","0","3","KCM","BIR","y","both","","","1943"
"KCM194304252","BIR","KCM","NOL01","19430425","2","","day","","","","","","15000","","","","","","","","","","","","","","","parks103","gipsa101","","exhibition","0","2","KCM","BIR","y","both","","","1943"
"KCM194304270","BIR","KCM","NOL01","19430427","0","","","","","","","","","","","","","","","","","","","","","","","parks103","markj101","","exhibition","1","3","KCM","BIR","y","both","","","1943"
"BIR194304290","KCM","BIR","MTG01","19430429","0","","night","","","","","","2800","","","","","","","","","","","","","","","","sayla101","","exhibition","2","1","KCM","BIR","y","p","","","1943"
"BIR194305021","KCM","BIR","BIR01","19430502","1","","","","","","","","10000","","","","","","","","","","","","","","","mckig101","paigs101","","exhibition","2","4","BIR","KCM","y","both","y","y","1943"
"BIR194305022","KCM","BIR","BIR01","19430502","2","","","","","","","","","","","","","","","","","","","","","","","markj101","mcdab101","","exhibition","2","3","BIR","KCM","y","both","y","y","1943"
"BIR194305030","KCM","BIR","BIR01","19430503","0","","night","","","","","","","","","","","","","","","","","","","","","","newbj101","","exhibition","14","9","KCM","BIR","y","","","","1943"
"BIR194305060","KCM","BIR","BIR01","19430506","0","","","","","","","","","","","","","","","","","","","","","","","mckig101","","","exhibition","5","6","BIR","KCM","","","","","1943"
"BIR194305070","CAG","BIR","MTG01","19430507","0","","night","","","","","","1200","","","","","","","","","cunnu901","","","","","","","gipsa101","","exhibition","7","6","CAG","BIR","y","both","","","1943"
"CAG194305080","BIR","CAG","MTG01","19430508","0","","night","","","","","","","","","","","","","","","","","","","","","jessg101","mckig101","","exhibition","3","4","CAG","BIR","y","both","","","1943"
"BIR194305091","CAG","BIR","BIR01","19430509","1","","day","","","","","","4000","","","","","","","","","","","","","","","markj101","suttl101","","exhibition","2","3","BIR","CAG","y","both","","","1943"
"BIR194305092","CAG","BIR","BIR01","19430509","2","","day","","","","","","4000","","","","","","","","","","","","","","","cornw101","newbj101","","exhibition","9","4","CAG","BIR","y","both","","","1943"
"CI2194305161","BIR","CI2","CIN07","19430516","1","","day","","","","","","5000","","","","","","","","","","","","","","","davir103","mckig101","","regular","2","3","CI2","BIR","y","both","","","1943"
"CI2194305162","BIR","CI2","CIN07","19430516","2","","day","","","","","","4000","","","","","","","","","","","","","","","mckig101","henrp101","gipsa101","regular","6","5","BIR","CI2","y","both","","","1943"
"CI2194305163","BIR","CI2","DAY03","19430516","3","","night","","","","","","2500","","","","","","","","","","","","","","","sayla101","alexu101","","exhibition","7","2","BIR","CI2","y","both","","","1943"
"CI2194305180","BIR","CI2","SPR04","19430518","0","","","","","","","135","","","","","","","","","","strau903","evilu901","","","","","danig101","gipsa101","","regular","2","3","CI2","BIR","y","both","y","y","1943"
"MEM194305231","BIR","MEM","MEM03","19430523","1","","day","","","","","105","4133","","","","","","","","","goodw901","buntw901","","","","","mossp101","gipsa101","","regular","1","2","MEM","BIR","y","both","y","y","1943"
