"gid","team","inn1","inn2","inn3","inn4","inn5","inn6","inn7","inn8","inn9","inn10","inn11","inn12","inn13","inn14","inn15","inn16","inn17","inn18","inn19","inn20","inn21","inn22","inn23","inn24","inn25","inn26","inn27","inn28","lob","mgr","stattype","b_pa","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","b_roe","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","p_sb","p_cs","p_pb","d_po","d_a","d_e","d_dp","d_tp","d_pb","d_wp","d_sb","d_cs","start_l1","start_l2","start_l3","start_l4","start_l5","start_l6","start_l7","start_l8","start_l9","start_f1","start_f2","start_f3","start_f4","start_f5","start_f6","start_f7","start_f8","start_f9","start_f10","date","number","site","opp","wl","gametype","box","season"
"KCM194304251","KCM","0","0","0","1","0","1","1","0","","","","","","","","","","","","","","","","","","","","","","","value","","","3","6","1","1","","3","","","","","","1","1","","","","","27","","","2","","","","0","0","","","3","","","","","","","","","27","","0","","0","","","","","","","","","","","","","","paigs101","duncf102","","","","","","","","","19430425","1","NOL01","BIR","w","exhibition","","1943"
"KCM194304252","KCM","0","2","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","value","","","2","6","1","","","2","","","","1","","1","","","","","","21","","","1","","","","0","0","","","7","","","","","","","","","21","","2","1","0","","","","","allen102","soueh101","serrb101","broww101","oneib801","willj111","thomh103","duncf102","parks103","parks103","duncf102","oneib801","serrb101","soueh101","willj111","allen102","broww101","thomh103","","19430425","2","NOL01","BIR","w","exhibition","","1943"
"KCM194304270","KCM","0","3","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","value","","","3","7","1","2","","","","","","","","","","","","","","27","","","5","","","1","1","","","","","","","","","","","","","27","","1","","0","","","","","","","","","","","","","","smith111","duncf102","","","","","","","","","19430427","0","NOL01","BIR","w","exhibition","","1943"
"BIR194304290","KCM","2","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","value","","","2","4","","","","","","","","","","","","","","","","27","","","","","","","1","","1","","","","","","","","","","","27","","0","","0","","","","","","","","","","","","","","paigs101","","","","","","","","","","19430429","0","MTG01","BIR","w","exhibition","","1943"
"BIR194305021","KCM","0","0","0","1","0","0","0","0","1","","","","","","","","","","","","","","","","","","","","13","","value","42","40","2","9","1","1","0","2","0","","1","1","","2","0","","","0","","24","","36","10","0","0","0","4","","1","0","2","0","0","0","0","0","0","","0","24","","0","0","0","0","0","0","","allen102","soueh101","serrb101","broww101","greej108","oneib801","willj111","thomh103","paigs101","paigs101","greej108","oneib801","serrb101","soueh101","willj111","allen102","broww101","thomh103","","19430502","1","BIR01","BIR","l","exhibition","y","1943"
"BIR194305022","KCM","0","0","0","0","0","1","1","","","","","","","","","","","","","","","","","","","","","","5","","value","28","28","2","5","2","0","0","1","0","","0","0","0","","0","","","0","","19","","27","7","0","0","0","3","","5","0","","0","0","0","0","0","0","","0","19","","0","1","0","0","0","0","","allen102","soueh101","serrb101","broww101","greej108","oneib801","willj111","thomh103","smith111","smith111","greej108","oneib801","serrb101","soueh101","willj111","allen102","broww101","thomh103","","19430502","2","BIR01","BIR","l","exhibition","y","1943"
"BIR194305030","KCM","0","0","1","0","4","7","0","2","0","","","","","","","","","","","","","","","","","","","","","","value","","","14","15","","","","","","","","","","","","","","","","27","","","12","","","","9","","","","","","","","","","","","","27","","0","","0","","","","","","","","","","","","","","","","","","","","","","","","19430503","0","BIR01","BIR","w","exhibition","","1943"
"BIR194305060","KCM","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","value","","","5","","","","","","","","","","","","","","","","","30","1","","1","","","1","6","","","","","","","","","","","","","30","","0","","0","","","","","","","","","","","","","","","","","","","","","","","","19430506","0","BIR01","BIR","l","exhibition","","1943"
"KCM194305140","KCM","0","1","0","5","0","1","1","0","","","","","","","","","","","","","","","","","","","","","","","value","","","8","6","","","","","","","","","","","","","","","","27","","","8","","1","","3","","","","","","","","","","","","","27","","0","","0","","","","","","","","","","","","","","smith111","duncf102","","","","","","","","","19430514","0","OKC02","CAG","w","regular","","1943"
"KCM194305161","KCM","0","0","1","0","1","0","0","0","","","","","","","","","","","","","","","","","","","","","5","","value","31","26","2","7","1","0","0","2","2","1","0","3","","0","0","","","0","","27","","31","4","0","0","0","0","0","1","0","8","0","0","0","0","0","0","","0","27","8","2","0","0","0","0","0","","allen102","soueh101","serrb101","broww101","oneib801","willj111","thomh103","duncf102","paigs101","paigs101","duncf102","oneib801","serrb101","soueh101","willj111","allen102","broww101","thomh103","","19430516","1","KAN05","CAG","w","regular","y","1943"
"KCM194305162","KCM","0","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","","","","7","","value","26","23","1","5","1","0","0","1","2","","0","1","","0","0","","","0","","21","","27","7","0","0","0","0","0","4","","3","0","0","0","0","","0","","0","21","13","0","3","0","0","0","0","","allen102","soueh101","serrb101","broww101","oneib801","willj111","thomh103","duncf102","matcj101","matcj101","duncf102","oneib801","serrb101","soueh101","willj111","allen102","broww101","thomh103","","19430516","2","KAN05","CAG","w","regular","y","1943"
"KCM194305231","KCM","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","4","","value","31","31","0","6","0","1","0","0","0","","0","0","0","1","0","","","0","","27","","32","4","0","0","0","1","0","1","0","3","0","0","0","1","0","0","","0","27","13","4","1","0","0","0","0","","allen102","soueh101","serrb101","broww101","oneib801","willj111","thomh103","duncf102","paigs101","paigs101","duncf102","oneib801","serrb101","soueh101","willj111","allen102","broww101","thomh103","","19430523","1","KAN05","CVB","l","regular","y","1943"
"KCM194305232","KCM","0","2","1","0","1","0","0","","","","","","","","","","","","","","","","","","","","","","3","","value","28","28","4","7","1","1","0","3","0","","0","0","0","1","0","","","0","","21","","32","9","1","0","0","5","","1","","1","0","0","0","0","","0","","0","21","","3","0","0","0","0","0","","allen102","soueh101","serrb101","broww101","oneib801","willj111","thomh103","hayns101","mcdab101","mcdab101","hayns101","oneib801","serrb101","soueh101","willj111","allen102","broww101","thomh103","","19430523","2","KAN05","CVB","l","regular","y","1943"
"KCM194305240","KCM","0","0","0","0","1","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","7","","value","44","42","1","8","0","1","0","1","0","","0","2","","","2","","","0","","36","","45","6","0","0","0","3","","5","","6","0","0","0","0","","2","","0","36","19","3","0","0","0","0","2","","willj111","soueh101","serrb101","broww101","oneib801","smith111","duncf102","thomh103","matcj101","matcj101","duncf102","oneib801","serrb101","soueh101","willj111","smith111","broww101","thomh103","","19430524","0","KAN05","CVB","l","regular","y","1943"
"KCM194305250","KCM","2","0","2","0","0","0","1","0","","","","","","","","","","","","","","","","","","","","","9","","value","38","31","5","9","1","0","0","4","1","","0","6","","3","3","","","0","","27","","36","3","0","0","0","2","1","4","0","9","0","0","0","0","0","1","","1","27","10","3","0","0","1","0","1","","broww101","thomh103","willj111","soueh101","smith111","oneib801","serrb101","hayns101","paigs101","paigs101","hayns101","oneib801","serrb101","soueh101","willj111","smith111","broww101","thomh103","","19430525","0","STJ01","CVB","w","regular","y","1943"
"CAG194305300","KCM","0","1","1","0","0","0","0","0","2","","","","","","","","","","","","","","","","","","","","8","","value","39","35","4","9","1","0","0","2","1","0","1","2","0","4","1","","","0","","27","","34","8","0","0","1","3","3","0","0","3","0","0","0","0","0","0","","0","27","9","0","0","0","0","0","0","","willj111","soueh101","serrb101","smith111","broww101","oneib801","thomh103","duncf102","matcj101","matcj101","duncf102","oneib801","serrb101","soueh101","willj111","smith111","broww101","thomh103","","19430530","0","CHI10","CAG","w","regular","y","1943"
