"gid","team","inn1","inn2","inn3","inn4","inn5","inn6","inn7","inn8","inn9","inn10","inn11","inn12","inn13","inn14","inn15","inn16","inn17","inn18","inn19","inn20","inn21","inn22","inn23","inn24","inn25","inn26","inn27","inn28","lob","stattype","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","d_po","d_a","d_e","d_dp","d_tp","d_pb","start_l1","start_l2","start_l3","start_l4","start_l5","start_l6","start_l7","start_l8","start_l9","start_f1","start_f2","start_f3","start_f4","start_f5","start_f6","start_f7","start_f8","start_f9","start_f10","date","number","site","opp","wl","gametype","box","season"
"BIR194604141","IN9","0","0","2","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","value","","2","3","","","","","","","","","","","","","","","24","","","7","","","","3","","","","","","","","","","24","","2","3","0","","","","","","","","","","","bennj102","haywb102","","","","","","","","","19460414","1","BIR01","BIR","L","exhibition","","1946"
"BIR194604141","IN9","0","0","2","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","lower","","2","3","","","","","","","","","","","","","","","24","","","7","","","","3","","","","","","","","","","24","","2","3","0","","","","","","","","","","","bennj102","haywb102","","","","","","","","","19460414","1","BIR01","BIR","L","exhibition","","1946"
"BIR194604141","IN9","0","0","2","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","upper","","2","3","","","","","","","","","","","","","","","26","","","7","","","","3","","","","","","","","","","26","","2","3","0","","","","","","","","","","","bennj102","haywb102","","","","","","","","","19460414","1","BIR01","BIR","L","exhibition","","1946"
"BIR194604142","IN9","0","0","0","1","0","0","0","","","","","","","","","","","","","","","","","","","","","","","value","","1","6","","","","","","","","","","","","","","","18","","","6","","","","3","","","","","","","","","","18","","1","","0","","","","","","","","","","","cozah101","haywb102","","","","","","","","","19460414","2","BIR01","BIR","L","exhibition","","1946"
"BIR194604142","IN9","0","0","0","1","0","0","0","","","","","","","","","","","","","","","","","","","","","","","lower","","1","6","","","","","","","","","","","","","","","18","","","6","","","","3","","","","","","","","","","18","","1","","0","","","","","","","","","","","cozah101","haywb102","","","","","","","","","19460414","2","BIR01","BIR","L","exhibition","","1946"
"BIR194604142","IN9","0","0","0","1","0","0","0","","","","","","","","","","","","","","","","","","","","","","","upper","","1","6","","","","","","","","","","","","","","","18","","","6","","","","3","","","","","","","","","","18","","1","","0","","","","","","","","","","","cozah101","haywb102","","","","","","","","","19460414","2","BIR01","BIR","L","exhibition","","1946"
"MEM194604211","IN9","1","0","0","0","0","0","1","0","2","","","","","","","","","","","","","","","","","","","","","value","","4","8","","","","","","","","","","","","","","","24","","","11","2","","","5","","","","","","","","","","24","","1","","0","","","","","","","","","","","watsa102","hairs101","","","","","","","","","19460421","1","MEM03","MEM","L","exhibition","","1946"
"MEM194604211","IN9","1","0","0","0","0","0","1","0","2","","","","","","","","","","","","","","","","","","","","","lower","","4","8","","","","","","","","","","","","","","","24","","","11","2","","","5","","","","","","","","","","24","","1","","0","","","","","","","","","","","watsa102","hairs101","","","","","","","","","19460421","1","MEM03","MEM","L","exhibition","","1946"
"MEM194604211","IN9","1","0","0","0","0","0","1","0","2","","","","","","","","","","","","","","","","","","","","","upper","","4","8","","","","","","","","","","","","","","","24","","","11","2","","","5","","","","","","","","","","24","","1","","0","","","","","","","","","","","watsa102","hairs101","","","","","","","","","19460421","1","MEM03","MEM","L","exhibition","","1946"
"MEM194604212","IN9","0","0","0","5","4","0","1","","","","","","","","","","","","","","","","","","","","","","","value","","10","14","","1","","","","","","","","","","","","","21","","","8","","","","7","","","","","","","","","","21","","1","","0","","","","","","","","","","","henrp101","haywb102","","","","","","","","","19460421","2","MEM03","MEM","W","exhibition","","1946"
"MEM194604212","IN9","0","0","0","5","4","0","1","","","","","","","","","","","","","","","","","","","","","","","lower","","10","14","","1","","","","","","","","","","","","","21","","","8","","","","7","","","","","","","","","","21","","1","","0","","","","","","","","","","","henrp101","haywb102","","","","","","","","","19460421","2","MEM03","MEM","W","exhibition","","1946"
"MEM194604212","IN9","0","0","0","5","4","0","1","","","","","","","","","","","","","","","","","","","","","","","upper","","10","14","","1","","","","","","","","","","","","","21","","","8","","","","7","","","","","","","","","","21","","1","","0","","","","","","","","","","","henrp101","haywb102","","","","","","","","","19460421","2","MEM03","MEM","W","exhibition","","1946"
"MEM194604230","IN9","3","0","0","0","2","4","1","0","4","","","","","","","","","","","","","","","","","","","","","value","","14","17","","","","","","","","","","","","","","","27","","","12","","","","12","","","","","","","","","","27","","3","","0","","","","","","","","","","","peerd101","hairs101","","","","","","","","","19460423","0","LRK02","MEM","W","exhibition","","1946"
"MEM194604230","IN9","3","0","0","0","2","4","1","0","4","","","","","","","","","","","","","","","","","","","","","lower","","14","17","","","","","","","","","","","","","","","27","","","12","","","","12","","","","","","","","","","27","","3","","0","","","","","","","","","","","peerd101","hairs101","","","","","","","","","19460423","0","LRK02","MEM","W","exhibition","","1946"
"MEM194604230","IN9","3","0","0","0","2","4","1","0","4","","","","","","","","","","","","","","","","","","","","","upper","","14","17","","","","","","","","","","","","","","","27","","","12","","","","12","","","","","","","","","","27","","3","","0","","","","","","","","","","","peerd101","hairs101","","","","","","","","","19460423","0","LRK02","MEM","W","exhibition","","1946"
