"gid","team","inn1","inn2","inn3","inn4","inn5","inn6","inn7","inn8","inn9","inn10","inn11","inn12","inn13","inn14","inn15","inn16","inn17","inn18","inn19","inn20","inn21","inn22","inn23","inn24","inn25","inn26","inn27","inn28","lob","stattype","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","d_po","d_a","d_e","d_dp","d_tp","d_pb","start_l1","start_l2","start_l3","start_l4","start_l5","start_l6","start_l7","start_l8","start_l9","start_f1","start_f2","start_f3","start_f4","start_f5","start_f6","start_f7","start_f8","start_f9","start_f10","date","number","site","opp","wl","gametype","box","season"
"KCM194704110","BIR","0","0","0","0","0","2","2","0","0","","","","","","","","","","","","","","","","","","","","","value","","4","8","1","","","4","","","","1","","","","","","","27","","","8","","","1","1","1","","","","","","","","","27","","1","","0","","","","","","","","","","","poweb103","bassp101","","","","","","","","","19470411","0","WAC01","KCM","W","exhibition","","1947"
"KCM194704110","BIR","0","0","0","0","0","2","2","0","0","","","","","","","","","","","","","","","","","","","","","lower","","4","8","1","","","4","","","","1","","","","","","","27","","","8","","","1","1","1","","","","","","","","","27","","1","","0","","","","","","","","","","","poweb103","bassp101","","","","","","","","","19470411","0","WAC01","KCM","W","exhibition","","1947"
"KCM194704110","BIR","0","0","0","0","0","2","2","0","0","","","","","","","","","","","","","","","","","","","","","upper","","4","8","1","","","4","","","","1","","","","","","","27","","","8","","","1","1","1","","","","","","","","","27","","1","","0","","","","","","","","","","","poweb103","bassp101","","","","","","","","","19470411","0","WAC01","KCM","W","exhibition","","1947"
"BIR194704160","BIR","0","0","0","1","2","1","0","2","","","","","","","","","","","","","","","","","","","","","","value","","6","8","","","","","","","1","","","","","","","","27","","","8","1","","","4","","","","14","","","","","","27","","1","","0","","","","","","","","","","","newbj101","bassp101","","","","","","","","","19470416","0","BIR01","HOM","W","exhibition","","1947"
"BIR194704160","BIR","0","0","0","1","2","1","0","2","","","","","","","","","","","","","","","","","","","","","","lower","","6","8","","","","","","","1","","","","","","","","27","","","8","1","","","4","","","","14","","","","","","27","","1","","0","","","","","","","","","","","newbj101","bassp101","","","","","","","","","19470416","0","BIR01","HOM","W","exhibition","","1947"
"BIR194704160","BIR","0","0","0","1","2","1","0","2","","","","","","","","","","","","","","","","","","","","","","upper","","6","8","","","","","","","1","","","","","","","","27","","","8","1","","","4","","","","14","","","","","","27","","1","","0","","","","","","","","","","","newbj101","bassp101","","","","","","","","","19470416","0","BIR01","HOM","W","exhibition","","1947"
"BIR194704170","BIR","0","4","2","2","0","0","0","","","","","","","","","","","","","","","","","","","","","","","value","","8","9","","","","","1","","1","","","","","","","","21","","","21","","1","1","17","","","","7","","","","","","21","","3","","0","","","","","","","","","","","polln102","","","","","","","","","","19470417","0","BIR01","HOM","L","exhibition","","1947"
"BIR194704170","BIR","0","4","2","2","0","0","0","","","","","","","","","","","","","","","","","","","","","","","lower","","8","9","","","","","1","","1","","","","","","","","21","","","21","","1","1","17","","","","7","","","","","","21","","3","","0","","","","","","","","","","","polln102","","","","","","","","","","19470417","0","BIR01","HOM","L","exhibition","","1947"
"BIR194704170","BIR","0","4","2","2","0","0","0","","","","","","","","","","","","","","","","","","","","","","","upper","","8","9","","","","","1","","1","","","","","","","","21","","","21","","1","1","17","","","","7","","","","","","21","","3","","0","","","","","","","","","","","polln102","","","","","","","","","","19470417","0","BIR01","HOM","L","exhibition","","1947"
"BIR194704180","BIR","6","2","0","0","0","1","1","0","0","","","","","","","","","","","","","","","","","","","","","value","","10","12","","","1","","","","","","","","","","","","27","","","14","","","","11","","","","","","","","","","27","","2","","0","","","","","","","","","","","hearj103","bassp101","","","","","","","","","19470418","0","MTG01","CVB","L","exhibition","","1947"
