"gid","visteam","hometeam","site","date","number","starttime","daynight","innings","tiebreaker","usedh","htbf","timeofgame","attendance","fieldcond","precip","sky","temp","winddir","windspeed","oscorer","forfeit","umphome","ump1b","ump2b","ump3b","umplf","umprf","wp","lp","save","gametype","vruns","hruns","wteam","lteam","line","batteries","lineups","box","season"
"NY6194804251","PH5","NY6","NYC14","19480425","1","","","","","","","126","5000","","","","","","","","","Prnands","fullu901","","","","","barnd101","millh104","","exhibition","2","4","NY6","PH5","y","both","y","y","1948"
"NY6194804252","PH5","NY6","NYC14","19480425","2","","","","","","","","5000","","","","","","","","","","","","","","","","","","exhibition","4","3","PH5","NY6","","","","","1948"
"PH5194805010","NY6","PH5","CHE01","19480501","0","","","","","false","","-1","0","unknown","unknown","unknown","0","unknown","-1","","","","","","","","","loper102","goulh101","","regular","17","9","NY6","PH5","y","both","y","y","1948"
"NY6194805021","HOM","NY6","NYC16","19480502","1","0:00PM","day","","","false","","125","10500","unknown","unknown","unknown","0","unknown","-1","","","fernu901","salau901","","fullu901","","","scanp104","thomf110","","regular","1","7","NY6","HOM","y","both","y","y","1948"
"BLG194805060","NY6","BLG","HRB01","19480506","0","0:00PM","night","","","false","","0","400","unknown","unknown","unknown","0","unknown","-1","","","mccrf901","laceu901","","burnu902","","","","","","regular","3","3","","","y","both","y","y","1948"
"NY6194805091","PH5","NY6","NYC14","19480509","1","0:00PM","day","","","false","","118","6000","unknown","unknown","unknown","0","unknown","-1","","","fernu901","salau901","","fullu901","","","barnd101","mcheh101","","regular","2","4","NY6","PH5","y","both","y","y","1948"
"NY6194805092","PH5","NY6","NYC14","19480509","2","0:00PM","day","","","false","","-1","6000","unknown","unknown","unknown","0","unknown","-1","","","","","","","","","scanp104","browb107","","regular","0","1","NY6","PH5","y","both","y","y","1948"
"NY6194805110","NY5","NY6","WIL04","19480511","0","0:00PM","","","","false","","-1","1000","unknown","unknown","unknown","0","unknown","-1","","","","","","","","","salaw101","davic105","","regular","4","12","NY6","NY5","y","both","y","y","1948"
"BLG194805141","NY6","BLG","PHI11","19480514","1","0:00PM","","","","false","","-1","0","unknown","unknown","unknown","0","unknown","-1","","","","","","","","","rombb101","cruem101","","regular","1","2","BLG","NY6","y","both","y","y","1948"
"NY6194805150","NW2","NY6","TRE01","19480515","0","","","","","","","","","","","","","","","","","","","","","","","","","","regular","8","3","NW2","NY6","","","","","1948"
"PH5194805180","NY6","PH5","YOR02","19480518","0","","night","","","","","","","","","","","","","","","","","","","","","scanp104","","","regular","6","3","NY6","PH5","","p","","","1948"
"HOM194805190","NY6","HOM","HRB01","19480519","0","0:00PM","","","","false","","-1","600","unknown","unknown","unknown","0","unknown","-1","","","laceu901","burnu902","","","","","fielw101","loper102","","regular","6","8","HOM","NY6","y","both","y","y","1948"
"HOM194805200","NY6","HOM","WAS09","19480520","0","","","","","","","","4000","","","","","","","","","","","","","","","","","","regular","11","1","NY6","HOM","","","","","1948"
"BLG194805210","NY6","BLG","BAL14","19480521","0","","night","","","","","","","","","","","","","","","","","","","","","byrdb101","","","regular","9","10","BLG","NY6","y","both","","","1948"
"NY6194805231","BLG","NY6","NYC16","19480523","1","0:00PM","","","","false","","127","5000","unknown","unknown","unknown","0","unknown","-1","","","drumj901","fernu901","","","","","blacj103","scanp104","","regular","3","2","BLG","NY6","y","both","y","y","1948"
"NY6194805232","BLG","NY6","NYC16","19480523","2","","","","","","","","","","","","","","","","","","","","","","","blacj103","","","regular","9","6","BLG","NY6","y","both","","","1948"
"BLG194805250","NY6","BLG","BAL14","19480525","0","0:00PM","","","","false","","141","3000","unknown","unknown","unknown","0","unknown","-1","","","mccrf901","lewiu901","","","","","byrdb101","barnd101","","regular","2","10","BLG","NY6","y","both","y","y","1948"
"NW2194805280","NY6","NW2","NWK04","19480528","0","0:00PM","","","","false","","-1","0","unknown","unknown","unknown","0","unknown","-1","","","","","","","","","mannm101","barnd101","","regular","0","1","NW2","NY6","y","both","y","y","1948"
"NY6194806061","HOM","NY6","NYC14","19480606","1","0:00PM","","","","false","","153","6500","unknown","unknown","unknown","0","unknown","-1","","","huntu902","okeeu901","","","","","fielw101","scanp104","","regular","15","8","HOM","NY6","y","both","y","y","1948"
"NY6194806062","HOM","NY6","NYC14","19480606","2","","","","","","","","6500","","","","","","","","","","","","","","","barnd101","parkt101","","regular","6","9","NY6","HOM","y","both","","","1948"
"BLG194806080","NY6","BLG","BAL14","19480608","0","0:00PM","","","","false","","129","1035","unknown","unknown","unknown","0","unknown","-1","","","mccrf901","lewiu901","","","","","byrdb101","loper102","","regular","3","6","BLG","NY6","y","both","y","y","1948"
"PH5194806100","NY6","PH5","WIL04","19480610","0","0:00PM","","","","false","","-1","0","unknown","unknown","unknown","0","unknown","-1","","","","","","","","","mcheh101","barnd101","","regular","3","4","PH5","NY6","y","both","y","y","1948"
"NW2194806141","NY6","NW2","PHI11","19480614","1","0:00PM","","","","false","","130","0","unknown","unknown","unknown","0","unknown","-1","","","mccrf901","cockp101","","rhoac101","","","scanp104","willc107","","regular","3","2","NY6","NW2","y","both","y","y","1948"
"HOM194806271","NY6","HOM","WAS09","19480627","1","0:00PM","","","","false","","-1","2500","unknown","unknown","unknown","0","unknown","-1","","","kempu901","greee901","","","","","scanp104","fielw101","","regular","7","2","NY6","HOM","y","both","y","y","1948"
"HOM194806272","NY6","HOM","WAS09","19480627","2","0:00PM","","","","false","","-1","2500","unknown","unknown","unknown","0","unknown","-1","","","kempu901","greee901","","","","","parkt101","barnd101","","regular","1","2","HOM","NY6","y","both","y","y","1948"
"NY6194807040","NY5","NY6","NYC14","19480704","0","0:00PM","","","","false","","139","5000","unknown","unknown","unknown","0","unknown","-1","","","huntu902","drumj901","","","","","grifb102","loper102","","regular","9","5","NY5","NY6","y","both","y","y","1948"
"NY6194807051","NW2","NY6","NYC16","19480705","1","0:00PM","","","","false","","-1","0","unknown","unknown","unknown","0","unknown","-1","","","","","","","","","barnd101","willc107","","regular","0","2","NY6","NW2","y","both","y","y","1948"
"CVB194807080","NY6","CVB","BUF06","19480708","0","","night","","","","","","2000","","","","","","","","","","","","","","","santj103","boona101","","exhibition","6","2","NY6","CVB","y","both","","","1948"
"NY5194807090","NY6","NY5","ROC04","19480709","0","0:00PM","","","","false","","-1","1500","unknown","unknown","unknown","0","unknown","-1","","","coleu902","taylb108","","quamu901","","","scanp104","davic105","","regular","9","3","NY6","NY5","y","both","y","y","1948"
"NY5194807100","NY6","NY5","ALB02","19480710","0","","day","","","","","","800","","","","","","","","","parsu901","turnu901","","","","","newka101","pearf104","","regular","10","4","NY6","NY5","y","both","y","y","1948"
"NY6194807110","PH5","NY6","NYC16","19480711","0","0:00PM","","","","false","","-1","3500","unknown","unknown","unknown","0","unknown","-1","","","huntu902","drumj901","","","","","partr102","barnd101","","regular","8","3","PH5","NY6","y","both","y","y","1948"
"NY6194807150","IN9","NY6","NYC14","19480715","0","8:45pm","night","","","","","","7100","","","","","","","","","","","","","","","santj103","cabrl101","","exhibition","2","9","NY6","IN9","y","both","","","1948"
"BLG194807160","NY6","BLG","BAL14","19480716","0","0:00PM","","","","false","","152","1931","unknown","unknown","unknown","0","unknown","-1","","","mccrf901","lewiu901","","","","","byrdb101","scanp104","","regular","6","12","BLG","NY6","y","both","y","y","1948"
"NY6194807181","HOM","NY6","NYC14","19480718","1","0:00PM","","","","false","","155","4500","unknown","unknown","unknown","0","unknown","-1","","","drumj901","huntu902","","","","","fielw101","loper102","","regular","8","4","HOM","NY6","y","both","y","y","1948"
"NY6194807182","HOM","NY6","NYC14","19480718","2","","","","","","","","4500","","","","","","","","","","","","","","","","","","regular","10","9","HOM","NY6","y","both","","","1948"
"HOM194807190","NY6","HOM","CHE01","19480719","0","0:00PM","","","","false","","-1","0","unknown","unknown","unknown","0","unknown","-1","","","","","","","","","jenkp101","parkt101","","regular","15","7","NY6","HOM","y","both","y","y","1948"
"NY6194807250","NY5","NY6","NYC14","19480725","0","0:00PM","","","","false","","-1","4500","unknown","unknown","unknown","0","unknown","-1","","","drumj901","huntu902","","","","","grifb102","scanp104","","regular","5","4","NY5","NY6","y","both","y","y","1948"
"NY5194807261","NY6","NY5","PHI11","19480726","1","0:00PM","","","","false","","-1","5000","unknown","unknown","unknown","0","unknown","-1","","","schuu901","rhoac101","","mccrf901","","","davic105","loper102","","regular","4","5","NY5","NY6","y","both","y","y","1948"
"BLG194807270","NY6","BLG","BAL14","19480727","0","0:00PM","","","","false","","80","0","unknown","unknown","unknown","0","unknown","-1","","","mccrf901","lewiu901","","","","","santj103","burke103","","regular","3","2","NY6","BLG","y","both","y","y","1948"
"NY6194808080","PH5","NY6","NYC16","19480808","0","0:00PM","","","","false","","-1","0","unknown","unknown","unknown","0","unknown","-1","","","drumj901","larou901","","","","","mcheh101","scanp104","","regular","4","3","PH5","NY6","y","both","y","y","1948"
"PH5194808090","NY6","PH5","PHI11","19480809","0","0:00PM","","","","false","","135","5988","unknown","unknown","unknown","0","unknown","-1","","","lougu901","mccrf901","","cockp101","","","santj103","millh104","","regular","4","1","NY6","PH5","y","both","y","y","1948"
"BLG194808100","NY6","BLG","BAL14","19480810","0","0:00PM","","","","false","","135","0","unknown","unknown","unknown","0","unknown","-1","","","lewiu901","mccrf901","","","","","byrdb101","barnd101","","regular","4","9","BLG","NY6","y","both","y","y","1948"
"HOM194808120","NY6","HOM","WAS09","19480812","0","0:00PM","","","","false","","130","0","unknown","unknown","unknown","0","unknown","-1","","","owenu901","kempu901","","","","","evanc102","loper102","","regular","2","3","HOM","NY6","y","both","y","y","1948"
"BIR194808140","NY6","BIR","BIR01","19480814","0","0:00PM","","","","false","","140","0","unknown","unknown","unknown","0","unknown","-1","","","willp103","austu901","","moorc901","","","scanp104","perra101","","exhibition","7","3","NY6","BIR","y","both","y","y","1948"
"BIR194808150","NY6","BIR","BIR01","19480815","0","0:00PM","","","","false","","135","2432","unknown","unknown","unknown","0","unknown","-1","","","moorc901","austu901","","willp103","","","poweb103","santj103","","exhibition","2","8","BIR","NY6","y","both","y","y","1948"
"BIR194808180","NY6","BIR","CHT01","19480818","0","","night","","","","","","","","","","","","","","","","","","","","","barnd101","wills104","","exhibition","4","2","NY6","BIR","y","both","","","1948"
"BIR194808190","NY6","BIR","BIR01","19480819","0","0:00PM","","","","false","","150","4126","unknown","unknown","unknown","0","unknown","-1","","","moorc901","austu901","","willp103","","","loper102","greab101","","exhibition","7","3","NY6","BIR","y","both","y","y","1948"
"BIR194808221","NY6","BIR","NOL01","19480822","1","","day","","","","","","5000","","","","","","","","","","","","","","","santj103","","","exhibition","9","0","NY6","BIR","","","","","1948"
"BIR194808222","NY6","BIR","NOL01","19480822","2","","day","","","","","","5000","","","","","","","","","","","","","","","loper102","","","exhibition","4","2","NY6","BIR","","","","","1948"
"BIR194808240","NY6","BIR","GRE01","19480824","0","","night","","","","","","2000","","","","","","","","","","","","","","","","","","exhibition","7","6","NY6","BIR","","both","","","1948"
"BIR194808250","NY6","BIR","MEM02","19480825","0","","night","","","","","","","","","","","","","","","","","","","","","jenkp101","poweb103","","exhibition","4","3","NY6","BIR","y","both","","","1948"
"BIR194808270","NY6","BIR","LEX01","19480827","0","","night","","","","","","","","","","","","","","","","","","","","","perra101","loper102","","exhibition","4","8","BIR","NY6","y","both","","","1948"
"NY6194808290","NW2","NY6","NYC14","19480829","0","0:00PM","","","","false","","133","3800","unknown","unknown","unknown","0","unknown","-1","","","huntu902","drumj901","","","","","mannm101","santj103","","regular","3","2","NW2","NY6","y","both","y","y","1948"
"BLG194808300","NY6","BLG","CHE01","19480830","0","0:00PM","","","","false","","-1","0","unknown","unknown","unknown","0","unknown","-1","","","trusu901","vanne901","","","","","scanp104","rombb101","","regular","7","5","NY6","BLG","y","both","y","y","1948"
"BLG194808310","NY6","BLG","BAL14","19480831","0","0:00PM","","","","false","","131","0","unknown","unknown","unknown","0","unknown","-1","","","","","","","","","byrdb101","barnd101","","regular","1","2","BLG","NY6","y","both","y","y","1948"
"NW2194809030","NY6","NW2","NWK04","19480903","0","0:00PM","","","","false","","88","0","unknown","unknown","unknown","0","unknown","-1","","","suttm101","moorc901","","","","","hookl101","jenkp101","","regular","1","2","NW2","NY6","y","both","y","y","1948"
"NY6194809061","IN9","NY6","NYC14","19480906","1","","day","","","","","","7500","","","","","","","","","drumj901","huntu902","","","","","loper102","cohej101","","exhibition","3","6","NY6","IN9","y","both","","","1948"
"NY6194809062","KCM","NY6","NYC14","19480906","2","0:00PM","","","","false","","130","7500","unknown","unknown","unknown","0","unknown","-1","","","huntu902","drumj901","","","","","barnd101","richg102","","exhibition","4","9","NY6","KCM","y","both","y","y","1948"
"NY6194809120","PH5","NY6","NYC16","19480912","0","0:00PM","","","","false","","165","3200","unknown","unknown","unknown","0","unknown","-1","","","drumj901","larou901","","","","","mcheh101","newka101","","regular","10","8","PH5","NY6","y","both","y","y","1948"
