"gid","visteam","hometeam","site","date","number","starttime","daynight","innings","tiebreaker","usedh","htbf","timeofgame","attendance","fieldcond","precip","sky","temp","winddir","windspeed","oscorer","forfeit","umphome","ump1b","ump2b","ump3b","umplf","umprf","wp","lp","save","gametype","vruns","hruns","wteam","lteam","line","batteries","lineups","box","pbp","season"
"BIR194903270","LCB","BIR","TUS01","19490327","0","","","","","FALSE","","","3000","","","","","","","","","","","","","","","","","","exhibition","7","4","LCB","BIR","y","both","","","","1949"
"BIR194903300","LCB","BIR","AXC01","19490330","0","","","","","","","","","","","","","","","","","","","","","","","","","","exhibition","0","2","BIR","LCB","","","","","","1949"
"BIR194904010","LCB","BIR","OZA01","19490401","0","","night","","","FALSE","","","","","","","","","","","","","","","","","","","","","exhibition","4","5","BIR","LCB","","","","","","1949"
"BIR194904030","LCB","BIR","MOB01","19490403","0","","","","","FALSE","","","","","","","","","","","","","","","","","","wills104","jonep103","","exhibition","5","6","BIR","LCB","y","both","","","","1949"
"BIR194904040","LCB","BIR","BIR01","19490404","0","","N","","","FALSE","","","2300","","","","","","","","","","","","","","","","","","exhibition","6","4","LCB","BIR","","","","","","1949"
"LCB194904120","BLG","LCB","MUS01","19490412","0","0:00PM","night","","","false","","140","0","unknown","unknown","unknown","0","unknown","-1","","","rossu901","ary-u901","","","","","ferrt102","brewc102","rombb101","exhibition","15","4","BLG","LCB","y","both","y","y","d","1949"
"LCB194904130","BLG","LCB","MUS01","19490413","0","","N","","","FALSE","","","","","","","","","","","","","","","","","","jonep103","rodgs101","","exhibition","1","4","LCB","BLG","y","both","","","","1949"
"MEM194904160","LCB","MEM","TUP01","19490416","0","","","","","FALSE","","","","","","","","","","","","","","","","","","browt105","wootn101","","exhibition","12","3","LCB","MEM","y","both","","","","1949"
"MEM194904170","LCB","MEM","MEM02","19490417","0","","day","","","","","","3500","","","","","","","","","","","","","","","hutcw101","brewc102","","exhibition","5","18","MEM","LCB","y","both","","","","1949"
"MEM194904180","LCB","MEM","MEM02","19490418","0","","","","","","","","","","","","","","","","","","","","","","","","","","exhibition","3","4","MEM","LCB","","","","","","1949"
"MEM194904200","LCB","MEM","MUS01","19490420","0","","night","","","FALSE","","","","","","","","","","","","","","","","","","woods103","brewc102","","exhibition","3","4","MEM","LCB","y","both","","","","1949"
"MEM194904220","LCB","MEM","LRK02","19490422","0","","","","","","","","","","","","","","","","","","","","","","","","","","exhibition","8","10","MEM","LCB","","","","","","1949"
"LCB194905010","PH5","LCB","LOU05","19490501","0","0:00PM","day","","","false","","0","3350","unknown","unknown","unknown","0","unknown","-1","","","","","","","","","brewc102","rickb102","","regular","1","2","LCB","PH5","y","both","y","y","d","1949"
"LCB194905020","PH5","LCB","COL05","19490502","0","","night","","","FALSE","","","1500","","","","","","","","","","","","","","","millh104","longe102","","regular","1","0","PH5","LCB","y","both","","","","1949"
"LCB194905030","PH5","LCB","SPR04","19490503","0","","night","","","FALSE","","","300","","","","","","","","","","","","","","","browt105","thomg105","","regular","7","14","LCB","PH5","y","both","","","","1949"
"LCB194905040","PH5","LCB","DAY03","19490504","0","","night","","","FALSE","","","","","","","","","","","","","","","","","","","jonep103","","regular","11","9","PH5","LCB","y","both","","","","1949"
"LCB194905050","PH5","LCB","CHA01","19490505","0","","night","","","FALSE","","","1700","","","","","","","","","","","","","","","grifb102","browj114","","regular","9","0","PH5","LCB","y","both","","","","1949"
"LCB194905061","PH5","LCB","LOU05","19490506","1","","night","","","FALSE","","","","","","","","","","","","","","","","","","","","","regular","5","1","PH5","LCB","y","","","","","1949"
"LCB194905062","PH5","LCB","LOU05","19490506","2","","night","","","","","","","","","","","","","","","","","","","","","","","","regular","12","4","PH5","LCB","","","","","","1949"
"LCB194905080","NY6","LCB","ATL04","19490508","0","0:00PM","day","","","false","","0","0","unknown","unknown","unknown","0","unknown","-1","","","doylj901","meanl101","","","","","scanp101","jones105","","regular","12","1","NY6","LCB","y","both","y","y","d","1949"
"LCB194905090","CAG","LCB","ATL04","19490509","0","0:00PM","night","","","false","","0","0","unknown","unknown","unknown","0","unknown","-1","","","doylj901","meanl101","","","","","stroo101","clarw103","","regular","5","4","CAG","LCB","y","both","y","y","d","1949"
"BIR194905100","LCB","BIR","BIR01","19490510","0","","night","","","","","","","","","","","","","","","","","","","","","jeffg102","newbj101","brewc102","regular","7","5","LCB","BIR","y","both","","","","1949"
"LCB194905130","NY6","LCB","LEX01","19490513","0","","","","","","","","","","","","","","","","","","","","","","","ferra103","jeffg102","","regular","12","4","NY6","LCB","y","both","","","","1949"
"LCB194905151","NY6","LCB","LOU05","19490515","1","","","","","","","","","","","","","","","","","","","","","","","","","","regular","8","2","NY6","LCB","","","","","","1949"
"LCB194905152","NY6","LCB","LOU05","19490515","2","","","7","","","","","","","","","","","","","","","","","","","","","","","regular","7","7","","","","","","","","1949"
"LCB194905170","NY6","LCB","NWO01","19490517","0","","","","","","","","","","","","","","","","","","","","","","","newka101","jonep103","","regular","12","4","NY6","LCB","y","both","","","","1949"
"BIR194905250","LCB","BIR","BIR01","19490525","0","0:00PM","night","","","false","","134","1957","unknown","unknown","unknown","0","unknown","-1","","","moorc901","moseh901","(none)","austu901","","","wills104","longe102","","regular","3","6","BIR","LCB","y","both","y","y","d","1949"
"LCB194905260","BIR","LCB","LEX01","19490526","0","","night","","","","","","","","","","","","","","","","","","","","","perra101","osora101","","regular","15","3","BIR","LCB","y","both","","","","1949"
"LCB194905270","BIR","LCB","LOU05","19490527","0","","night","","","","","","","","","","","","","","","","","","","","","poweb103","jeffg102","","regular","7","0","BIR","LCB","y","p","","","","1949"
"CAG194905291","LCB","CAG","CHI10","19490529","1","","","10","","FALSE","","","","","","","","","","","","","","","","","","mckig101","osora101","","regular","4","5","CAG","LCB","y","both","","","","1949"
"CAG194905292","LCB","CAG","CHI10","19490529","2","","","7","","FALSE","","","","","","","","","","","","","","","","","","clarw103","","","regular","7","6","LCB","CAG","y","both","","","","1949"
"LCB194905300","CAG","LCB","COL05","19490530","0","","N","","","FALSE","","","2400","","","","","","","","","","","","","","","smite111","longe102","","regular","2","1","CAG","LCB","y","both","","","","1949"
"LCB194906010","CAG","LCB","DAY03","19490601","0","","N","","","FALSE","","","1000","","","","","","","","","","","","","","","jessg101","jones105","","regular","2","1","CAG","LCB","y","both","","","","1949"
"LCB194906030","CAG","LCB","RCI01","19490603","0","","night","","","FALSE","","","","","","","","","","","","","","","","","","","","","regular","5","6","LCB","CAG","","","","","","1949"
"LCB194906051","CAG","LCB","BUF06","19490605","1","","","","","FALSE","","","3600","","","","","","","","","","","","","","","mckig101","","","regular","7","5","CAG","LCB","y","both","","","","1949"
"LCB194906052","CAG","LCB","BUF06","19490605","2","","","7","","","","","3600","","","","","","","","","","","","","","","jessg101","jeffg102","","regular","8","3","CAG","LCB","y","both","","","","1949"
"LCB194906061","CAG","LCB","SYR04","19490606","1","","night","","","FALSE","","","1000","","","","","","","","","","","","","","","warsu101","","","regular","6","0","CAG","LCB","","","","","","1949"
"LCB194906062","CAG","LCB","SYR04","19490606","2","","night","7","","FALSE","","","1000","","","","","","","","","","","","","","","radct101","rhodh101","","regular","4","5","LCB","CAG","","p","","","","1949"
"LCB194906070","CAG","LCB","NWC01","19490607","0","","night","","","FALSE","","","","","","","","","","","","","","","","","","smitt105","","","regular","13","2","CAG","LCB","","","","","","1949"
