ID,Player,Year,Team,Type,Pos,Cat,Game,Retro,Official,Cross,Code,X,Notes,Accepted
1907A0002,barrj103,1907,BOS,O,,G,PHA190705291,1,0,1907A0003,,,Officially no LF in game,
1907A0003,barrj103,1907,BOS,O,,AB,PHA190705291,2,0,1907A0009,,,Officially no LF in game,
1907A0004,barrj103,1907,BOS,O,,AB,BOS190706220,4,3,,,,,
1907A0005,barrj103,1907,BOS,O,,AB,BOS190706270,3,2,,,,,
1907A0006,barrj103,1907,BOS,O,,AB,BOS190707252,3,4,,,,,
1907A0007,barrj103,1907,BOS,O,,AB,NYA190708270,3,2,,,,,
1907A0008,barrj103,1907,BOS,O,,AB,NYA190709031,4,3,,,,,
1907A0009,barrj103,1907,BOS,O,,H,PHA190705291,1,0,1907A0010,,,Officially no LF in game,
1907A0010,barrj103,1907,BOS,O,,2B,PHA190705291,1,0,1907A0013,,,Officially no LF in game,
1907A0012,barrj103,1907,BOS,O,,SH,CHA190707211,0,1,,PAA,,,
1907A0013,barrj103,1907,BOS,D,OF,G,PHA190705291,1,0,1907A0002,,,Officially no LF in game,
1907A0015,barrj103,1907,BOS,D,OF,LFG,,100,96,,,,Games by outfield position not kept officially,Y
1907A0016,barrj103,1907,BOS,D,OF,CFG,,0,3,,,,Games by outfield position not kept officially,Y
1907A0019,collj103,1907,BOS,O,,AB,,160,158,,,,Sheets show 160 AB,
1907A0021,congb101,1907,BOS,O,,AB,,497,496,,,,Sheets show 497 AB,
1907A0022,congb101,1907,BOS,O,,AB,CLE190708230,4,3,,,,,
1907A0023,congb101,1907,BOS,O,,AB,BOS190709270,4,3,,,,,
1907A0025,congb101,1907,BOS,O,,SH,BOS190707290,0,1,,PAA,,,
1907A0026,congb101,1907,BOS,D,OF,ERR,BOS190707270,1,0,,,,,
1907A0027,crigl101,1907,BOS,O,,G,CHA190708140,1,0,,,,Officially no C in game,
1907A0028,crigl101,1907,BOS,O,,G,BOS190709071,1,0,1907A0031,,,,
1907A0029,crigl101,1907,BOS,O,,AB,CHA190708140,4,0,1907A0027,,,,
1907A0030,crigl101,1907,BOS,O,,H,CHA190708140,1,0,1907A0027,,,,
1907A0031,crigl101,1907,BOS,O,,AB,BOS190709071,2,0,1907A0035,,,,
1907A0033,crigl101,1907,BOS,D,C,G,,74,75,,,,Sheets show 74 G at C,
1907A0034,crigl101,1907,BOS,D,C,G,CHA190708140,1,0,1907A0027,,,Officially no C in game,
1907A0035,crigl101,1907,BOS,D,C,G,BOS190709071,1,0,1907A0106,,,,
1907A0038,ferrh101,1907,BOS,O,,AB,BOS190709102,3,4,,,,,
1907A0039,ferrh101,1907,BOS,O,,H,,133,135,,,,Sheets show 133 G,
1907A0040,ferrh101,1907,BOS,O,,3B,,3,2,,,,Sheets show 3 3B,
1907A0042,ferrh101,1907,BOS,O,,SH,BOS190709250,1,0,,,,,
1907A0043,ferrh101,1907,BOS,D,2B,ERR,,31,30,,,,Sheets show 31 ERR,
1907A0045,freeb102,1907,BOS,O,,SH,,1,0,,,,Sheets show 1 SH,
1907A0047,grimm101,1907,BOS,O,,G,BOS190706171,1,0,1907A0049,,,,
1907A0048,grimm101,1907,BOS,O,,G,DET190708220,1,0,1907A0050,,,,
1907A0049,grimm101,1907,BOS,O,,AB,BOS190706171,1,0,1907A0047,,,,
1907A0050,grimm101,1907,BOS,O,,AB,DET190708220,1,0,1907A0048,,,,
1907A0052,grimm101,1907,BOS,O,,SH,BOS190710010,0,1,,,,,
1907A0053,grimm101,1907,BOS,D,1B,ERR,PHA190709120,0,1,,,,,
1907A0054,grimm101,1907,BOS,D,1B,ERR,PHA190709142,0,1,,,,,
1907A0056,grimm101,1907,BOS,D,2B,ERR,BOS190707270,0,1,,,,,
1907A0057,grimm101,1907,BOS,D,OF,G,,17,18,,,,Games by position not clear on sheet,
1907A0058,grimm101,1907,BOS,D,OF,LFG,,0,1,,,,Games by outfield position not kept officially,Y
1907A0059,grimm101,1907,BOS,D,OF,CFG,,1,0,,,,Games by outfield position not kept officially,Y
1907A0060,grimm101,1907,BOS,D,OF,RFG,,16,17,,,,Games by outfield position not kept officially,Y
1907A0061,harrj102,1907,BOS,O,,AB,BOS190706242,1,2,,,,,
1907A0063,hoeyj101,1907,BOS,O,,G,BOS190708082,1,0,,,,,
1907A0064,hoeyj101,1907,BOS,O,,G,BOS190708090,1,0,,,,,
1907A0065,hoeyj101,1907,BOS,O,,G,BOS190709250,1,0,,,,,
1907A0066,hoeyj101,1907,BOS,O,,H,BOS190709200,1,0,,,,,
1907A0068,hoeyj101,1907,BOS,D,OF,LFG,,18,17,,,,Games by outfield position not kept officially,Y
1907A0069,hoeyj101,1907,BOS,D,OF,CFG,,3,4,,,,Games by outfield position not kept officially,Y
1907A0070,knigj102,1907,BOS,O,,G,BOS190709102,1,0,1907A0072,,,,
1907A0071,knigj102,1907,BOS,O,,AB,BOS190706100,4,3,,,,,
1907A0072,knigj102,1907,BOS,O,,AB,BOS190709102,1,0,1907A0078,,,,
1907A0074,knigj102,1907,BOS,O,,3B,,4,3,,,,Sheets show 4 3B,
1907A0076,knigj102,1907,BOS,O,,SH,DET190707060,1,0,,,,,
1907A0077,knigj102,1907,BOS,D,SS,G,BOS190709090,0,1,1907A0079,,,Officially 2 SS and no 3B in game,
1907A0078,knigj102,1907,BOS,D,SS,G,BOS190709102,1,0,1907A0070,,,,
1907A0079,knigj102,1907,BOS,D,3B,G,BOS190709090,1,0,1907A0077,,,Officially 2 SS and no 3B in game,
1907A0080,knigj102,1907,BOS,D,3B,ERR,BOS190709071,1,0,,,,,
1907A0082,mcgud101,1907,BOS,O,,G,,5,6,,,,Sheets show 5 G,
1907A0083,mcgud101,1907,BOS,O,,G,DET190708210,1,0,1907A0084,,,,
1907A0084,mcgud101,1907,BOS,O,,AB,DET190708210,1,0,1907A0083,,,,
1907A0085,mcgud101,1907,BOS,O,,AB,BOS190709102,1,0,,,,,
1907A0087,morgc102,1907,BOS,D,P,ERR,BOS190709210,1,0,,,,,
1907A0090,paref101,1907,BOS,D,2B,G,,4,5,,,,Sheets show 4 G at 2B,
1907A0091,paref101,1907,BOS,D,3B,G,,11,7,,,,Sheets show 11 G at 3B,
1907A0092,paref101,1907,BOS,D,3B,G,WS1190709180,1,0,1907A0094,,,Officially 2 SS and no 3B in game,
1907A0093,paref101,1907,BOS,D,3B,G,BOS190709250,0,1,,,,,
1907A0094,paref101,1907,BOS,D,SS,G,WS1190709180,0,1,1907A0092,,,Officially 2 SS and no 3B in game,
1907A0096,paref101,1907,BOS,D,OF,G,,46,47,,,,Sheets show 46 G in OF,
1907A0099,paref101,1907,BOS,D,OF,LFG,,27,26,,,,Games by outfield position not kept officially,Y
1907A0100,paref101,1907,BOS,D,OF,CFG,,10,13,,,,Games by outfield position not kept officially,Y
1907A0102,pruit101,1907,BOS,O,,SH,BOS190705010,1,0,,,,,
1907A0103,pruit101,1907,BOS,D,P,ERR,BOS190706080,0,1,,,,,
1907A0104,pruit101,1907,BOS,D,P,ERR,BOS190708082,0,2,,,,,
1907A0106,shawa101,1907,BOS,O,,G,BOS190709071,0,1,1907A0107,,,,
1907A0107,shawa101,1907,BOS,O,,AB,BOS190709071,0,2,1907A0109,,,,
1907A0109,shawa101,1907,BOS,D,C,G,BOS190709071,0,1,1907A0111,,,,
1907A0110,shawa101,1907,BOS,D,C,ERR,BOS190707270,1,0,,,,,
1907A0111,shawa101,1907,BOS,D,C,ERR,BOS190709071,0,1,1907A0028,,,,
1907A0112,shawa101,1907,BOS,D,C,ERR,PHA190709120,1,0,,,,,
1907A0114,speat101,1907,BOS,O,,G,PHA190709120,1,0,1907A0116,,,,
1907A0115,speat101,1907,BOS,O,,G,BOS190709240,0,1,1907A0117,,,,
1907A0116,speat101,1907,BOS,O,,AB,PHA190709120,2,0,1907A0119,,,,
1907A0117,speat101,1907,BOS,O,,AB,BOS190709240,0,1,1907A0115,,,,
1907A0119,speat101,1907,BOS,D,OF,G,PHA190709120,1,0,1907A0120,,,,
1907A0120,speat101,1907,BOS,D,OF,RFG,PHA190709120,1,0,1907A0114,,,,Y
1907A0121,sulld101,1907,BOS,O,,G,,143,144,,,,Sheets show 143 G,
1907A0122,sulld101,1907,BOS,O,,AB,BOS190709102,4,3,,,,,
1907A0126,sulld101,1907,BOS,D,OF,G,,142,143,,,,Sheets show 142 G in OF,
1907A0127,sulld101,1907,BOS,D,OF,CFG,,142,143,,,,Games by outfield position not kept officially,Y
1907A0128,tannj101,1907,BOS,O,,H,CHA190705180,1,0,,,,,
1907A0129,tannj101,1907,BOS,O,,2B,,2,3,,,,Sheets show 2 2B,
1907A0130,tannj101,1907,BOS,O,,SH,SLA190707160,1,0,,,,,
