ID,Player,Year,Team,Type,Pos,Cat,Game,Retro,Official,Cross,Code,,Notes,Accepted
1923N0001,bailg101,1923,BRO,D,OF,G,CIN192309230,1,0,,,,,
1923N0002,bailg101,1923,BRO,D,OF,CFG,CIN192309230,1,0,,,,No CF in game at start,Y
1923N0003,bailg101,1923,BRO,D,OF,CFG,,61,60,,,,Official sheets show 61 CFG,Y
1923N0004,bergm103,1923,BRO,D,SS,DP,CIN192307270,0,1,,,,,
1923N0005,grifb101,1923,BRO,D,OF,LFG,BRO192307150,0,1,1923N0008,DUP,,,Y
1923N0006,grifb101,1923,BRO,D,OF,LFG,BRO192308250,0,1,1923N0009,DUP,,,Y
1923N0007,grifb101,1923,BRO,D,OF,CFG,,2,9,,,,Official sheets show 2 CFG,Y
1923N0008,grifb101,1923,BRO,D,OF,RFG,BRO192307150,1,0,1923N0005,DUP,,,Y
1923N0009,grifb101,1923,BRO,D,OF,RFG,BRO192308250,1,0,1923N0006,DUP,,,Y
1923N0010,grifb101,1923,BRO,D,OF,RFG,,10,3,,,,Official sheets show 12 RFG,Y
1923N0011,grift102,1923,BRO,O,,AB,BSN192305070,5,6,1923N0017,SWAP;PAA,,,
1923N0013,grift102,1923,BRO,D,OF,G,,128,127,,,,Official sheets show 128 G in OF,
1923N0014,grift102,1923,BRO,D,OF,RFG,,128,127,,,,Official sheets show 128 RFG,Y
1923N0015,grimb101,1923,BRO,O,,BB,BRO192304180,2,1,1923N0234,PAA,,,
1923N0016,hargc101,1923,BRO,D,C,G,BRO192309020,0,1,,,,Hargreaves PH in last half inning,
1923N0017,higha101,1923,BRO,O,,AB,BSN192305070,5,4,1923N0011,SWAP;PAA,,,
1923N0018,higha101,1923,BRO,D,2B,DP,BRO192307200,0,1,1923N0022,COL,,,
1923N0021,higha101,1923,BRO,D,3B,DP,,14,13,,COPY,,Official sheets show 14 DP at 3B,
1923N0268,higha101,1923,BRO,D,SS,DP,,22,23,,COPY,,Official sheets show 22 DP at SS,
1923N0022,higha101,1923,BRO,D,SS,DP,BRO192307200,1,0,1923N0018,COL,,,
1923N0023,johnj107,1923,BRO,D,2B,G,PHI192306270,1,0,,,,No 2B in game at end,
1923N0024,neisb101,1923,BRO,D,OF,LFG,,12,13,,,,Official sheets show 12 LFG,Y
1923N0269,neisb101,1923,BRO,D,OF,RFG,,12,11,,,,Official sheets show 12 RFG,Y
1923N0025,neisb101,1923,BRO,D,OF,RFG,BSN192305050,1,0,1923N0027,,,,Y
1923N0027,wheaz101,1923,BRO,D,OF,LFG,BSN192305050,1,0,1923N0028,,,,Y
1923N0028,wheaz101,1923,BRO,D,OF,RFG,BSN192305050,0,1,1923N0025,,,,Y
1923N0029,boect101,1923,BSN,O,,BB,BSN192304200,1,0,1923N0054,SWAP;PAA,,,
1923N0030,boect101,1923,BSN,O,,CS,BSN192305230,0,1,,,,,
1923N0034,conlj101,1923,BSN,O,,RBI,NY1192304260,1,0,1923N0047,,,,
1923N0035,conlj101,1923,BSN,O,,BB,BSN192307120,0,1,1923N0039,SWAP;PAA,,,
1923N0036,conlj101,1923,BSN,D,2B,DP,,17,16,,COPY,,Official sheets show 17 DP at 2B,
1923N0038,conlj101,1923,BSN,D,SS,DP,,2,3,,COPY,,Official sheets show 2 DP at SS,
1923N0039,felig101,1923,BSN,O,,BB,BSN192307120,3,2,1923N0035,SWAP;PAA,,,
1923N0040,felig101,1923,BSN,O,,HBP,BSN192305110,0,1,1923N0041,SWAP;PAA,,,
1923N0041,fordh101,1923,BSN,O,,HBP,BSN192305110,1,0,1923N0040,SWAP;PAA,,,
1923N0264,fordh101,1923,BSN,D,2B,DP,BSN192305190,0,1,,,,,
1923N0265,fordh101,1923,BSN,D,SS,DP,,8,6,,COPY,,Official sheets show 8 DP at SS,
1923N0043,fordh101,1923,BSN,D,2B,DP,,59,61,,COPY,,Official sheets show 60 DP at 2B,
1923N0045,genej101,1923,BSN,D,P,DP,CHN192308010,0,1,,,,,
1923N0046,gibsf101,1923,BSN,D,C,G,BRO192307041,0,1,,,,Gibson PH in last half inning,
1923N0047,marqr102,1923,BSN,O,,RBI,NY1192304260,1,0,1923N0034,,,,
1923N0048,marqr102,1923,BSN,O,,HBP,BSN192308250,1,0,1923N0249,PAA,,,
1923N0049,millf102,1923,BSN,O,,SH,CHN192307300,1,0,,OPP;PAA,,,
1923N0050,power101,1923,BSN,O,,AB,CHN192307310,4,5,1923N0205,PAA,,,
1923N0051,smite106,1923,BSN,O,,AB,CHN192307300,4,5,,PAA,,,
1923N0052,smitb110,1923,BSN,D,2B,DP,,9,10,,COPY,,Official sheets show 9 DP at 2B,
1923N0053,smitb110,1923,BSN,D,SS,DP,,69,68,,COPY,,Official sheets show 69 DP at SS,
1923N0054,soutb101,1923,BSN,O,,BB,BSN192304200,0,1,1923N0029,SWAP;PAA,,,
1923N0055,callm101,1923,CHN,D,OF,G,CHN192305270,1,0,,,,,
1923N0056,callm101,1923,CHN,D,OF,RFG,CHN192305270,1,0,,,,No RF in game at end,Y
1923N0057,grang102,1923,CHN,O,,AB,CHN192308010,4,3,1923N0188,PAA,,,
1923N0058,hartg103,1923,CHN,O,,SH,CHN192306090,0,1,1923N0062,SWAP;PAA,,,
1923N0059,hartg103,1923,CHN,D,C,G,NY1192305110,0,1,,,,Hartnett PH in last half inning,
1923N0060,hartg103,1923,CHN,D,C,G,BSN192308180,0,1,,,,Hartnett PH in last half inning,
1923N0061,heatc101,1923,CHN,O,,RBI,CHN192308080,0,1,,,,Officially Cubs had 4 R and 5 RBI,
1923N0062,heatc101,1923,CHN,O,,SH,CHN192306090,1,0,1923N0058,SWAP;PAA,,,
1923N0063,keenv101,1923,CHN,O,,AB,PHI192307212,1,2,,,,,
1923N0064,keenv101,1923,CHN,O,,SH,PHI192307212,1,0,1923N0066,SWAP,,,
1923N0065,millh103,1923,CHN,O,,AB,PHI192307212,5,4,,PAA,,,
1923N0066,statj101,1923,CHN,O,,SH,PHI192307212,0,1,1923N0064,SWAP;PAA,,,
1923N0067,vogeo101,1923,CHN,D,OF,LFG,CHN192306110,1,0,1923N0068,,,,Y
1923N0068,vogeo101,1923,CHN,D,OF,RFG,CHN192306110,0,1,1923N0067,,,,Y
1923N0069,weisb102,1923,CHN,O,,G,PIT192305302,0,1,1923N0070,,,,
1923N0070,weisb102,1923,CHN,O,,AB,PIT192305302,0,1,1923N0071,,,,
1923N0071,weisb102,1923,CHN,O,,SO,PIT192305302,0,1,1923N0072,,,,
1923N0072,wirtk101,1923,CHN,O,,G,PIT192305302,1,0,1923N0073,,,,
1923N0073,wirtk101,1923,CHN,O,,AB,PIT192305302,1,0,1923N0074,,,,
1923N0074,wirtk101,1923,CHN,O,,SO,PIT192305302,1,0,1923N0069,,,,
1923N0075,bohns101,1923,CIN,O,,RBI,BRO192307200,0,1,,,,,
1923N0076,burng101,1923,CIN,D,OF,CFG,,4,3,,,,Official sheets show 4 CFG,Y
1923N0077,burng101,1923,CIN,D,OF,RFG,,150,151,,,,Official sheets show 150 RFG,Y
1923N0078,cavei101,1923,CIN,O,,RBI,BRO192307200,3,0,,,,Officially Caveney had HR and 0 RBI,
1923N0081,rouse101,1923,CIN,O,,RBI,BSN192308271,3,2,,,,,
1923N0082,bancd101,1923,NY1,D,2B,G,NY1192308231,0,1,1923N0084,DUP,,,
1923N0083,bancd101,1923,NY1,D,2B,G,NY1192308232,0,1,1923N0087,DUP,,,
1923N0084,bancd101,1923,NY1,D,2B,ERR,NY1192308231,0,1,1923N0085,,,,
1923N0085,bancd101,1923,NY1,D,2B,DP,NY1192308231,0,1,1923N0086,,,,
1923N0086,bancd101,1923,NY1,D,SS,G,NY1192308231,1,0,1923N0262,DUP,,,
1923N0087,bancd101,1923,NY1,D,SS,G,NY1192308232,1,0,1923N0083,DUP,,,
1923N0261,bancd101,1923,NY1,D,SS,DP,NY1192305250,0,1,,,,,
1923N0262,bancd101,1923,NY1,D,SS,DP,NY1192308231,1,0,1923N0088,,,,
1923N0088,bancd101,1923,NY1,D,SS,ERR,NY1192308231,1,0,1923N0082,,,,
1923N0090,cunnb102,1923,NY1,D,OF,CFG,NY1192305110,1,0,,,,No CF in game at start,Y
1923N0091,cunnb102,1923,NY1,D,OF,CFG,NY1192305130,1,0,,,,No CF in game at start,Y
1923N0092,frisf101,1923,NY1,O,,H,NY1192306220,0,1,,OPP,,,
1923N0093,frisf101,1923,NY1,O,,RBI,NY1192304280,2,1,1923N0100,,,,
1923N0094,frisf101,1923,NY1,O,,BB,CHN192306060,1,0,1923N0099,SWAP;PAA,,,
1923N0095,frisf101,1923,NY1,D,2B,G,SLN192308111,1,0,,,,,
1923N0096,frisf101,1923,NY1,D,2B,G,SLN192308120,1,0,,,,No 2B in game at start,
1923N0097,frisf101,1923,NY1,D,2B,DP,,79,80,,ADD,,Official sheets show 79 DP at 2B,
1923N0098,frisf101,1923,NY1,D,3B,DP,,4,3,,ADD,,Official sheets show 4 DP at 3B,
1923N0099,jackt101,1923,NY1,O,,BB,CHN192306060,0,1,1923N0094,SWAP;PAA,,,
1923N0100,meusi101,1923,NY1,O,,RBI,NY1192304280,1,0,1923N0102,,,,
1923N0101,meusi101,1923,NY1,O,,BB,NY1192304290,0,1,1923N0103,SWAP;PAA,,,
1923N0102,younr101,1923,NY1,O,,RBI,NY1192304280,1,0,1923N0093,,,,
1923N0103,younr101,1923,NY1,O,,BB,NY1192304290,1,0,1923N0101,SWAP;PAA,,,
1923N0104,behap101,1923,PHI,O,,G,,35,34,,ADD,,Official sheets show 35 G,
1923N0105,glazw101,1923,PHI,O,,BB,SLN192307290,0,1,1923N0123,SWAP;PAA,,,
1923N0106,lee-c101,1923,PHI,D,OF,LFG,PHI192307130,0,1,1923N0110,DUP,,,Y
1923N0107,lee-c101,1923,PHI,D,OF,LFG,PHI192307190,0,1,1923N0111,DUP,,,Y
1923N0108,lee-c101,1923,PHI,D,OF,LFG,BRO192309031,0,1,1923N0112,,,,Y
1923N0109,lee-c101,1923,PHI,D,OF,LFG,,53,54,,ADD,,Official sheets show 53 LFG,Y
1923N0110,lee-c101,1923,PHI,D,OF,RFG,PHI192307130,1,0,1923N0106,DUP,,,Y
1923N0111,lee-c101,1923,PHI,D,OF,RFG,PHI192307190,1,0,1923N0107,DUP,,,Y
1923N0112,lee-c101,1923,PHI,D,OF,RFG,BRO192309031,1,0,1923N0113,,,,Y
1923N0113,mokaj101,1923,PHI,D,OF,RFG,BRO192309031,0,1,1923N0108,,,,Y
1923N0114,obrim101,1923,PHI,O,,CS,NY1192309080,1,0,,,,,
1923N0115,parkf101,1923,PHI,D,2B,G,NY1192305250,0,1,1923N0116,DUP,,,
1923N0116,parkf101,1923,PHI,D,2B,ERR,NY1192305250,0,1,1923N0118,,,,
1923N0117,parkf101,1923,PHI,D,2B,DP,PHI192305040,0,1,,,,,
1923N0118,parkf101,1923,PHI,D,2B,DP,NY1192305250,0,2,1923N0119,,,,
1923N0119,parkf101,1923,PHI,D,SS,G,NY1192305250,1,0,1923N0120,DUP,,,
1923N0120,parkf101,1923,PHI,D,SS,ERR,NY1192305250,1,0,1923N0121,,,,
